Phrase	Grammar	Transcription	Translation	Notes
ἀναγνωρίζομαι	Adj		to make oneself known again	
ἡ ἀναίδεια, -ας	V		shamelessness, shameless persistence	
ἄναλος, -ον	Adj		without salt	
ἡ ἀνάλημψις, -εως	V		ascension	
ἡ ἀνάχυσις, -εως	Adj		a wide stream, flood, excess	
ἀναμάρτητος, -ον	V		without sin	
ἀνασταυρόω	N		to crucify again	
ἡ ἀνάλυσις, -εως	N		departure	
ἀναπτύσσω	Adv		to unroll	
ὁ ἀνδραποδιστής, -οῦ	N		a slave dealer, kidnapper	
ἀναπείθω	Adj		to induce, persuade	
ἀναντίρρητος, -ον	Adj		not to be contradicted, undeniable	
ἡ ἀνάψυξις, -εως	N		a recovery of breath, a refreshing	
ἀναπηδάω	Adj		to stand up, leap up, jump	
ἀναστενάζω	N		to sigh deeply	
ἀναψύχω	V		to refresh, revive	
ἀναξίως	Adj		in an unworthy or improper manner	
ἡ ἀναλογία, -ας	V		proportion	
ἀνανήφω	Adv		to regain one's senses	
ἀνδρίζομαι	N		to act like a man	
ἀναρίθμητος, -ον	N		innumerable	
ἀναμένω	N		to wait for, expect	
ἀναλογίζομαι	Adj		to consider	
ἀνατάσσομαι	V		to arrange in order, compile	
ἀναντιρρήτως	N		without objection	
ἀναφωνέω	V		to cry out	
ἀνάξιος, -ον	V		unworthy, incompetent	
ἀνανεόω	V		to renew., become young again	
ἀνασκευάζω	V		to upset, unsettle	
ἀνένδεκτος, -ον	V		impossible	
ἀνέλεος, -ον	N		merciless	
ἀνεκδιήγητος, -ον	N		indescribable	
ἀνθομολογέομαι	V		to praise, gibe thanks	
τό ἄνηθον, -ου	N		dill	
ὁ ἀνεψιός, -οῦ	N		a cousin	
ἡ Ἅννα, -ας	V		Anna	
ἀντικαθίστημι	N		to oppose, resist	
ἀνεξίκακος, -ον	N		patient, tolerant	
ἀντικαλέω	N		to invite in return	
ἀντιβάλλω	Adj		to exchange, discuss	
ἡ ἄνοιξις, -εως	Adj		an opening	
ἀνεκλάλητος, -ον	N		inexpressible	
ἀνεμίζομαι	V		to be driven by the wind	
ἡ ἀντίθεσις, -εως	Adv		contradiction, opposition	
ἡ ἀνταπόδοσις, -εως	N		recompense, reward	
ἀνεξεραύνητος, -ον	N		unfathomable	
ἀντιδιατίθημι	V		to set oneself in opposition, be opposed	
ἀνήμερος, -ον	N		savage, brutal	
ἀνταγωνίζομαι	Adj		to struggle, strive	
ἀνεπαίσχυντος, -ον	N		unashamed, not needing to be ashamed	
ὁ ἄνθραξ, -ακος	N		charcoal, coals	
ἀνεύθετος, -ον	N		unsuitable, poor	
ἀνέκλειπτος, -ον	N		unfailing, inexhaustible	
ἀνελεήμων, -ον	V		unmerciful	
ὁ ἀνδροφόνος, -ου	V		a murderer	
ὁ Ἀνδρόνικος, -ου	V		Andronicus	
ἀνταναπληρόω	Adj		to fill up in turn	
τό ἀπαύγασμα, -τος	N		radiance, effulgence, reflection	
ἀντιλοιδορέω	Adv		to revile in return	
ἀπαράβατος, -ον	V		permanent, unchangeable	
ὁ Ἀντιοχεύς, -έως	Adv		Antiochene	
τό ἀντίλυτρον, -ου	N		ransom	
ἀντιστρατεύω	Adj		to make war against	
ἄντικρυς	N		opposite	
ἀπεῖπον	V		to speak out, renounce	
ἀντιμετρέω	N		to measure in return	
τό ἄντλημα, -τος	Adj		a bucket	
ἀπασπάζομαι	Adj		to take leave of, say farewell to	
ἡ ἀπέκδυσις, -εως	V		removal, stripping off	
ἀπείραστος, -ον	Adv		unable to be tempted	
ἀπαρασκεύαστος, -ον	N		not ready, unprepared	
ἀνωτερικός, -ή, -όν	Adj		upper	
ἡ ἀντίλημψις, -εως	Adj		help	
ἀντιπίπτω	N		to resist, oppose	
ἀπαλγέω	N		to become callous, dead to feeling, be despondent	
ὁ ἀπαρτισμός, -οῦ	N		completion	
ἀπαίδευτος, -ον	Adj		uninstructed, uneducated, ignorant	
ἀντιπέρα	Adj		opposite	
ἡ Ἀντιπατρίς, -ίδος	N		Antipatris	
ἀπάτωρ, -ορος	N		fatherless, without a father	
ἄπειρος, -ον	V		unacquainted with, unaccustomed to	
ἀπάγχομαι	Adj		to hang oneself	
ὁ Ἀντιπᾶς, -ᾶ	N		Antipas	
ἀντοφθαλμέω	N		to look directly at, to face	
ἡ ἀποκατάστασις, -εως	N		restoration	
ἡ ἀπόδειξις, -εως	N		proof, demonstration	
ὁ Ἀπελλῆς, -οῦ	N		Apelles	
ἀποβλέπω	V		to look, pay attention	
ἀπέραντος, -ον	N		endless, limitless	
ἀπογίνομαι	N		to die	
ὁ ἀπελεύθερος, -ου	Adj		a freedman	
ὁ ἀπελεγμός, -οῦ	Adj		disrepute, discredit	
ἀπελπίζω	V		to despair of, expect in return	
ἀποκλείω	V		to close, shut	
ἀπερισπάστως	Adj		without distraction	
ἁπλῶς	N		simply, sincerely, generously	
ἀποδιορίζω	Adv		to cause divisions	
τό ἀπόκριμα, -τος	Adv		a sentence, decision	
ἡ Ἀπολλωνία, -ας	Adv		Apollonia	
ἀπονίζω	N		to wash	
ἀπονέμω	N		to assign, show, grant	
ὁ Ἀπολλύων, -ονος	V		Apollyon, the Destroyer	
ἀπελαύνω	V		to drive away	
ἡ ἀπορία, -ας	N		perplexity, anxiety	
ἀποπίπτω	Adj		to fall, fall off	
ἀπόδημος, -ον	N		away on a journey	
ἀποθλίβω	Adj		to press upon, crowd in upon	
ἀπομάσσομαι	N		to wipe off	
ἀπερίτμητος, -ον	N		uncircumcised, stubborn	
ἀπόβλητος, -ον	Adv		rejected	
ἀποθησαυρίζω	V		to store up, lay up, treasure up	
ἄπταιστος, -ον	V		without stumbling	
ἀποφορτίζομαι	N		to unload	
ἀπορφανίζω	V		to make an orphan of	
ὁ Ἀρεοπαγίτης, -ου	N		an Areopagite	
ἀποστοματίζω	N		to question closely, interrogate	
