Text	Transcription	Notes
趴 pa ㄆㄚ	pa	
坡 po ㄆㄛ	po	
拍 pai ㄆㄞ	pd	
培 pei ㄆㄟ	pw	
拋 pao ㄆㄠ	pc	
剖 pou ㄆㄡ	pz	
潘 pan ㄆㄢ	pj	
噴 pen ㄆㄣ	pf	
旁 pang ㄆㄤ	ph	
烹 peng ㄆㄥ	pg	
批 pi ㄆㄧ	pi	
撇 pie ㄆㄧㄝ	pp	
飄 piao ㄆㄧㄠ	pn	
篇 pian ㄆㄧㄢ	pm	
拼 pin ㄆㄧㄣ	pb	
乒 ping ㄆㄧㄥ	pk	
鋪 pu ㄆㄨ	pu	
