Text	Transcription	Notes
拉 la ㄌㄚ	la	
勒 le ㄌㄜ	le	
來 lai ㄌㄞ	ld	
累 lei ㄌㄟ	lw	
老 lao ㄌㄠ	lc	
樓 lou ㄌㄡ	lz	
蘭 lan ㄌㄢ	lj	
郎 lang ㄌㄤ	lh	
冷 leng ㄌㄥ	lg	
黎 li ㄌㄧ	li	
倆 lia ㄌㄧㄚ	lx	
列 lie ㄌㄧㄝ	lp	
了 liao ㄌㄧㄠ	ln	
流 liu ㄌㄧㄡ	lq	
連 lian ㄌㄧㄢ	lm	
林 lin ㄌㄧㄣ	lb	
涼 liang ㄌㄧㄤ	ll	
零 ling ㄌㄧㄥ	lk	
爐 lu ㄌㄨ	lu	
鑼 luo ㄌㄨㄛ	lo	
亂 luan ㄌㄨㄢ	lr	
輪 lun ㄌㄨㄣ	ly	
龍 long ㄌㄨㄥ	ls	
呂 lü ㄌㄩ	lv	
略 lüe ㄌㄩㄝ	lt	
