Text	Transcription	Notes
擦 ca ㄘㄚ	ca	
測 ce ㄘㄜ	ce	
雌 ci ㄘ	ci	
猜 cai ㄘㄞ	cd	
曹 cao ㄘㄠ	cc	
湊 cou ㄘㄡ	cz	
參 can ㄘㄢ	cj	
岑 cen ㄘㄣ	cf	
倉 cang ㄘㄤ	ch	
層 ceng ㄘㄥ	cg	
粗 cu ㄘㄨ	cu	
錯 cuo ㄘㄨㄛ	co	
催 cui ㄘㄨㄟ	cv	
篡 cuan ㄘㄨㄢ	cr	
村 cun ㄘㄨㄣ	cy	
聰 cong ㄘㄨㄥ	cs	
