Text	Transcription	Notes
嘎 ga ㄍㄚ	ga	
哥 ge ㄍㄜ	ge	
該 gai ㄍㄞ	gd	
給 gei ㄍㄟ	gw	
高 gao ㄍㄠ	gc	
溝 gou ㄍㄡ	gz	
甘 gan ㄍㄢ	gj	
根 gen ㄍㄣ	gf	
剛 gang ㄍㄤ	gh	
更 geng ㄍㄥ	gg	
姑 gu ㄍㄨ	gu	
瓜 gua ㄍㄨㄚ	gx	
鍋 guo ㄍㄨㄛ	go	
拐 guai ㄍㄨㄞ	gk	
規 gui ㄍㄨㄟ	gv	
關 guan ㄍㄨㄢ	gr	
滾 gun ㄍㄨㄣ	gy	
光 guang ㄍㄨㄤ	gl	
工 gong ㄍㄨㄥ	gs	
