Text	Transcription	Notes
他 ta ㄊㄚ	ta	
特 te ㄊㄜ	te	
胎 tai ㄊㄞ	td	
滔 tao ㄊㄠ	tc	
偷 tou ㄊㄡ	tz	
攤 tan ㄊㄢ	tj	
湯 tang ㄊㄤ	th	
疼 teng ㄊㄥ	tg	
梯 ti ㄊㄧ	ti	
貼 tie ㄊㄧㄝ	tp	
挑 tiao ㄊㄧㄠ	tn	
㆝ tian ㄊㄧㄢ	tm	
聽 ting ㄊㄧㄥ	tk	
禿 tu ㄊㄨ	tu	
脫 tuo ㄊㄨㄛ	to	
推 tui ㄊㄨㄟ	tv	
團 tuan ㄊㄨㄢ	tr	
吞 tun ㄊㄨㄣ	ty	
通 tong ㄊㄨㄥ	ts	
