Text	Transcription	Notes
咖 ka ㄎㄚ	ka	
科 ke ㄎㄜ	ke	
開 kai ㄎㄞ	kd	
考 kao ㄎㄠ	kc	
口 kou ㄎㄡ	kz	
刊 kan ㄎㄢ	kj	
肯 ken ㄎㄣ	kf	
康 kang ㄎㄤ	kh	
坑 keng ㄎㄥ	kg	
枯 ku ㄎㄨ	ku	
誇 kua ㄎㄨㄚ	kx	
闊 kuo ㄎㄨㄛ	ko	
快 kuai ㄎㄨㄞ	kk	
虧 kui ㄎㄨㄟ	kv	
寬 kuan ㄎㄨㄢ	kr	
昆 kun ㄎㄨㄣ	ky	
筐 kuang ㄎㄨㄤ	kl	
空 kong ㄎㄨㄥ	ks	
