Text	Transcription	Notes
插 cha ㄔㄚ	ia	
車 che ㄔㄜ	ie	
吃 chi ㄔ	ii	
拆 chai ㄔㄞ	id	
超 chao ㄔㄠ	ic	
抽 chou ㄔㄡ	iz	
攙 chan ㄔㄢ	ij	
陳 chen ㄔㄣ	if	
昌 chang ㄔㄤ	ih	
稱 cheng ㄔㄥ	ig	
初 chu ㄔㄨ	iu	
戳 chuo ㄔㄨㄛ	io	
揣 chuai ㄔㄨㄞ	ik	
吹 chui ㄔㄨㄟ	iv	
穿 chuan ㄔㄨㄢ	ir	
春 chun ㄔㄨㄣ	iy	
窗 chuang ㄔㄨㄤ	il	
充 chong ㄔㄨㄥ	is	
