Phrase	Grammar	Transcription	Translation	Notes
आध्यात्मिकता	f		spirituality	
आनंद	m		joy, pleasure, bliss	
आना (1)			to come	
आना (2):&nbsp;&nbsp;मुझको हिंदी आती है			to have knowledge of a language: I know Hindi	
आना (3):&nbsp;&nbsp;मुझको खाना बनाना आता है			to have a skill: I know how to cook	
आप			you	
आपका			your, yours	
आपत्ति	f		objection	
आपत्तिजनक			objectionable	
आपस में			amongst (a group)	
आबादी	f		population	
आभार	m		obligation, debt (of gratitude	
आभारी			indebted, grateful	
आम (1)	m		mango	
आम (2)			ordinary	
आम तौर पर			usually	
आमदनी	f		income	
आय	f		income	
आयु	f		age (of a person	
आरम्भ	m		beginning, commencement	
आरी	f		hand-saw	
आराम	m		rest	
आराम-कुर्सी	f		armchair	
आराम से			comfortably, easily	
आराम करना			to rest	
आरामदेह			comfortable (of a chair, etc.)	
आर्थिक			financial, economic	
आलसी			lazy	
आलू	m		potato	
आवश्यक			necessary	
आवश्यकता	f		necessity	
आवाज़	f		voice; sound	
आविष्कार	m		discovery, invention	
आशा	f		hope	
आशीर्वाद	m		blessing	
आश्चर्य	m		surprise	
आश्रम	m		hermitage, home or refuge for people on a spiritual path; one of the four stages of life in Hinduis	
आसन	m		seat, sitting; yoga posture	
आस-पास			nearabout	
आसमान	m		sky	
आसान			easy	
आसानी	f		ease	
आसानी से			easily	
आह	f		sigh	
आह भरना			to sigh	
आहट	f		footfall, sound of footsteps	
आहिस्ता			slowly	
इंग्लैंड	m		England	
इंतज़ाम	m		arrangement	
(का) इंतज़ाम करना			to arrange	
इंतज़ार	m		waiting	
(का) इंतज़ार करना			to wait (for	
इंद्रिय	m		sense-organ; the senses	
इकट्ठा			gathered, assembled, together	
इकतालीस			forty-one	
इकतीस			thirty-one	
इकसठ			sixty-one	
इकहत्तर			seventy-one	
इक्कीस			twenty-one	
इक्यानवे			ninety-one	
इक्यावन			fifty-one	
इक्यासी			eighty-one	
इच्छा	f		wish	
इच्छा करना			to wish	
इज़हार	m		statement	
इज़हार करना			to declare, make known	
इजाज़त	f		permission	
इजाज़त देना			to give leave, to allow (to go	
इतना			so much, so	
इतने में			then, at that time, meanwhile	
इतवार	m		Sunday	
इतिहास	m		history	
इत्तीफ़ाक़ से			by chance	
इत्यादि			and so on	
इधर			here, over here; recently, latterly; in my/our case	
इधर-उधर			here and there, hither and thither	
इनकार	m		refusal	
इनकार करना			to refuse (to, से	
इनसान	m		human being	
इनसानियत	f		humanity, decency	
इबादत	f		worship	
इमारत	f		building	
इम्तहान	m		exa	
इम्तहान देना			to take an exam	
इन			oblique of ये	
इनाम	m		prize, reward, gift	
इरादा	m		intention	
इलाक़ा	m		area, district	
इलाज	m		cure, remedy	
का इलाज करना			to cure, treat	
इलायची	f		cardamom	
इशारा	m		sign, signal, hint, indication	
इश्क़	m		love, passion	
इश्तहार	m		advertisement, poster	
इस			oblique of यह	
इस लिए			so, because of this	
इसी लिए			<i>that's</i> why	
इस्तरी	f		iron (for ironing	
इस्तेमाल	m		use	
इस्तेमाल करना			to use	
इस्पात	m		steel	
ईंट	f		brick	
ईंधन	m		fuel	
ईद	f		the festival of Eid	
ईद का चाँद	m		a rare sight, someone seen 'once in a blue moon'	
ईमानदार			honest, trustworthy	
ईमानदारी	f		honesty	
ईर्ष्या	f		jealousy	
ईश्वर	m		God	
ईसाई			Christian (adj. &amp; noun; m.)	
उँगली	f		finger	
उगना			to grow (of plants etc.)	
उगाना			to grow, cultivate	
उग्र			fierce, radical	
उचित			proper, appropriate, right	
उच्चारण	m		pronunciation	
उछलना			to leap up, fly up, spring up	
उछालना			to throw, toss	
उठना			to get up, rise	
उठाना			to pick up, lift up, remove; to bear (expense	
उड़ना			to fly	
उड़ान	f		flight, a flight	
उड़ाना			to fly, make fly; to squander (money	
उतना			that much	
उतरना			to get down, alight; to fall (of facial expression)	
उतारना			to take down, take off	
उत्तर (1)	m		north	
उत्तर (2)	m		reply	
उत्तरदायित्व	m		responsibility	
उत्तरदायी			responsible	
उत्सव	m		festival, celebration	
उत्साह	m		enthusiasm, zeal	
उत्सुक			keen, eager	
उत्सुकता	f		keenness, eagerness	
उदार			liberal, generous	
उदारता	f		generosity	
उदास			sad, gloomy	
उदाहरण	m		example	
उद्देश्य	m		purpose, intention	
उद्यान	m		garden	
उधर			there, over there	
उधार	m		loan	
उधार देना			to lend	
उधार लेना			to borrow	
उन			oblique of वे	
उनचास			forty-nine	
उनतालीस			thirty-nine	
उनतीस			twenty-nine	
उनसठ			fifty-nine	
उनहत्तर			sixty-nine	
उन्नति	f		progress	
उन्नीस			nineteen	
उन्यासी			seventy-nine	
उपजाऊ			fertile, productive	
उपदेश	m		lesson, sermon	
उपन्यास	m		novel	
उपन्यासकार	m		novelist	
उपमहाद्वीप	m		subcontinent	
उपयुक्त			appropriate	
उपयोग	m		use	
उपयोगी			useful	
उपलब्ध			available	
उपवास	m		fast, fasting	
उपस्थित			present (not absent)	
उपस्थिति	f		presence, attendance	
उपाधि	f		title; degree	
उपाय	m		way, means, scheme	
उपासक	m		worshipper	
उपेक्षा	f		indifference, contempt	
उबलना			to boil (intr.)	
उबला हुआ			boiled	
उबालना			to boil (tr	
उमस	f		humidity, humid heat	
उम्मीद	f		hope	
उम्मीदवार	m		candidate	
उम्र	f		age	
उर्दू	f		Urdu	
उलझन	f		entanglement, complication	
उलझना			[ulajhnaa] to be caught up, entangled, ensnared	
उलझाना			[uljhaanaa] to entangle, ensnare	
उलटना			to overturn	
उलटा			inverted, upside-down, inside-out	
उलटे हाथ			to the left (hand)	
उलटी	f		vomiting	
उलटी करना			to vomit	
उल्लू	m		owl; fool	
उस			oblique of वह	
उसका			his, her/hers, its	
उस्ताद	m		skilled, skilful; master, teacher; maestro (used as a title for Muslim musicians and artists	
ऊँचा			high, tall; (of voice etc.) loud	
ऊँट	m		camel	
ऊन	f		wool	
ऊनी			woollen	
ऊपर			up, upstairs, above	
ऊपरवाला			'the one above', God	
ऊब	f		boredom	
ऊबना			to be bored	
ऊबड़-खाबड़			rough, bumpy	
ऋण	m		debt	
ऋतु	f		season	
ऋषि	m		sage, seer	
एक			one; a	
एक एक करके			one by one	
एक साथ			together	
-एक			(suffixed to number) about (e.g. दस-एक about ten, दो-एक one or two)	
एकता	f		unity	
एकदम			completely, utterly	
एकवचन			singular (in grammar)	
एकाएक			suddenly	
एकाध			a few, one or two	
एड़ी	f		heel	
एड्स	m		AIDS	
एतराज	m		objection	
ऐतिहासिक			historical	
ऐनक	f		(pair of) glasses, spectacles	
ऐश	f		pleasure, luxury	
ऐसा			of this kind	
ऐसा-वैसा			so-so, mediocre	
ऐसे			in this way, thus	
ऐसे ही			for no particular reason, just casually	
ओंठ	m		lip	
ओढ़ना			to wrap, put on	
ओझल			out of sight, disappeared	
ओर			side, direction (see तरफ़ for usages; f.)	
ओला	m		hail, hailstone	
ओस	f		dew	
औज़ार	m		tool, implement	
औपचारिक			formal	
औपचारिक रूप से			formally	
औपचारिकता	f		formality	
और			and; more	
और कुछ			something else	
और कोई			someone else	
और तो और			other things apart	
और भी			even more	
औरत	f		woman	
औसत			average (adj. &amp; noun; m.)	
कंकड़	m		a stone, pebble	
कंजूस	m		mean; miser	
कंधा	m		shoulder	
कंपनी	f		company, commerical firm	
कंबल	m		blanket	
कई			several	
कक्षा			class (in school etc.; f.)	
कचहरी	f		law court	
कच्चा			raw, half-baked/cooked, unripe; immature, untrained; unmetalled (of road)	
कटना			to be cut; to pass (of time)	
कटोरी	f		small bowl	
कट्टर			strict, fanatical	
