Phrase	Grammar	Transcription	Translation	Notes
姑娘|gūniang||girl||漂亮的~, 小~|NPCR-13
听说|tīngshuō||to be told|||NPCR-13
听|tīng||to listen|||NPCR-13
得|dé||to have, to get||~感冒, ~病|NPCR-13
告诉|gàosu||to tell|||NPCR-13
件|jiàn||(a measure word) piece||一~工作|NPCR-13
事儿|shìr||matter; affair; thing||一件~, 什么~|NPCR-13
散步|sànbù||to take a walk, to walk||一起~|NPCR-13
步|bù||step|||NPCR-13
电影|diànyǐng||movie||看~, 中国~|NPCR-13
电|diàn||electricity|||NPCR-13
影|yǐng||shadow|||NPCR-13
咖啡|kāfēi||coffee||喝~|NPCR-13
可是|kěshì||but|||NPCR-13
宿舍|sùshè||dormitory||学生~, 回~|NPCR-13
找|zhǎo||to look for||~房子, ~人, ~东西|NPCR-13
房子|fángzi||house||住~, 没有~, 买~|NPCR-13
租|zū||to rent||~房子, ~光盘|NPCR-13
间|jiān||(a measure word for room, house, etc)||一~房子|NPCR-13
厨房|chúfáng||kitchen||一间~|NPCR-13
厕所|cèsuǒ||toilet||一间~, 男~, 女~|NPCR-13
房租|fángzū||rent (for a house, flat, etc)|||NPCR-13
公司|gōngsī||company||小~, 大~, 租房~|NPCR-13
办|bàn||to do||怎么~|NPCR-13
打电话|dǎdiànhuà||to make a phone call||给她~|NPCR-13
电话|diànhuà||telephone; phone call一个~,||你的~|NPCR-13
让|ràng||to let; to allow; to make|||NPCR-13
帮助|bāngzhù||to help|||NPCR-13
喂|wèi||hello; hey|||NPCR-13
位|wèi||(a polite measure word for person)||一~小姐, 一~老师, 一~医生, 哪一~|NPCR-13
经理|jīnglǐ||manager|||NPCR-13
可能|kěnéng||maybe||~来, ~感冒, ~住院|NPCR-13
吃饭|chīfàn||to eat (a meal)|||NPCR-13
饭|fàn||meal||中国~|NPCR-13
等|děng||to wait||~人, ~他们, ~一下|NPCR-13
家美|jiāměi||(name of a house rental agency)|||NPCR-13
客厅|kètīng||living room|||NPCR-13
卧室|wòshì||bedroom|||NPCR-13
书房|shūfáng||a study|||NPCR-13
套|tào||suite|||NPCR-13
方便|fāngbiàn||convenient|||NPCR-13
巧|qiǎo||coincidental|||NPCR-13
合适|héshì||suitable|||NPCR-13
热心|rèxīn||enthusiastic|||NPCR-13
包括|bāokuò||to include|||NPCR-13
水电费|shuǐdiànfèi||utility|||NPCR-13
新|xīn||new|||NPCR-13
回信|huíxìn||reply/to reply|||NPCR-13
