Phrase	Grammar	Transcription	Translation	Notes
律师|lǜshī||lawyer|||NPCR-41
事务所|shìwùsuǒ||office|||NPCR-41
事务|shìwù||work; general affairs|||NPCR-41
所|suǒ||office|||NPCR-41
熟悉|shúxī||to be familiar with|||NPCR-41
想法|xiǎngfǎ||idea; opinion|||NPCR-41
需要|xūyào||to need; to want; to require / needs|||NPCR-41
打官司|dǎguānsi||to go to court|||NPCR-41
官司|guānsi||lawsuit|||NPCR-41
法律|fǎlǜ||law|||NPCR-41
同意|tóngyì||to agree; to consent|||NPCR-41
公务员|gōngwùyuán||public servant|||NPCR-41
公务|gōngwù||public affairs|||NPCR-41
法官|fǎguān||judge|||NPCR-41
法|fǎ||law|||NPCR-41
官|guān||government official|||NPCR-41
国营|guóyíng||state-operated|||NPCR-41
靠|kào||to lean on; to depend on|||NPCR-41
平安|píngān||safe and sound|||NPCR-41
代|dài||generation|||NPCR-41
分配|fēnpèi||to distribute; to assign|||NPCR-41
即使|jíshǐ||even; even if|||NPCR-41
关于|guānyú||about; with regard to|||NPCR-41
挑战|tiǎozhàn||to challenge|||NPCR-41
满意|mǎnyì||satisfied; pleased|||NPCR-41
不管|bùguǎn||no matter (what, how, etc.)|||NPCR-41
前途|qiántú||the future; prospect|||NPCR-41
招聘|zhāopìn||to invite applications for a job|||NPCR-41
聘|pìn||to invite sb. to a post (or job)|||NPCR-41
广告|guǎnggào||advertisement|||NPCR-41
苦|kǔ||bitter/hardship; suffering|||NPCR-41
生意|shēngyi||business; trade|||NPCR-41
总|zǒng||chief, general, total|||NPCR-41
休假|xiūjià||to have (to take) a vacation|||NPCR-41
事情|shìqing||affair; matter; thing|||NPCR-41
急|jí||urgent; pressing; impatient|||NPCR-41
表演|biǎoyǎn||to act; to play/performance|||NPCR-41
能力|nénglì||ability; capability|||NPCR-41
出名|chūmíng||to become famous|||NPCR-41
成功|chénggōng||to succeed/successful/success|||NPCR-41
导演|dǎoyǎn||to direct/director|||NPCR-41
面试|miànshì||to interview|||NPCR-41
通过|tōngguò||to pass; to pass through|||NPCR-41
改变|gǎibiàn||to change|||NPCR-41
损失|sǔnshī||to lose/loss; damage|||NPCR-41
号码|hàomǎ||number|||NPCR-41
之内|zhīnèi||within|||NPCR-41
内|nèi||inner; within; inside|||NPCR-41
讨论|tǎolùn||to discuss|||NPCR-41
骗子|piànzi||swindler|||NPCR-41
骗|piàn||to deceive; to fool|||NPCR-41
歌王|gēwáng||king of folk songs|||NPCR-41
少数|shǎoshù||small number; minority|||NPCR-41
深|shēn||deep|||NPCR-41
创作|chuàngzuò||to create; to write|||NPCR-41
改编|gǎibiān||to adapt; to revise|||NPCR-41
留恋|liúliàn||to be reluctant to leave(a place); can't bear to part (from sb.)|||NPCR-41
张望|zhāngwàng||to look around|||NPCR-41
石头|shítou||stone|||NPCR-41
圆|yuán||round|||NPCR-41
西瓜|xīguā||watermelon|||NPCR-41
甜|tián||sweet; honeyed|||NPCR-41
辫子|biànzi||braid; pigtail|||NPCR-41
眼睛|yǎnjing||eye|||NPCR-41
王洛宾|wángluòbīn||Wang Luobin (name of a Chinese musician)|||NPCR-41
汉族|hànzú||Han nationality|||NPCR-41
维吾尔族|wéiwúěrzú||Uygur|||NPCR-41
哈萨克族|hāsàkèzú||the Kazakh nationality|||NPCR-41
达坂城|dábǎnchéng||Daban City (name of a town in the Xinjiang Uygur Autonomous Region)|||NPCR-41
