Phrase	Grammar	Transcription	Translation	Notes
把|bǎ||(denoting the disposal of sth.)||~书看了, ~钱换了, ~练习做了|NPCR-16
忘|wàng||to forget||~了复习课文, 把这事儿~了|NPCR-16
图书馆|túshūguǎn||library||去~, 进~, 参观~, 一个~|NPCR-16
图书|túshū||books|||NPCR-16
馆|guǎn||shop; a place for cultural activities||饭~, 咖啡~, 美术~|NPCR-16
办公室|bàngōngshì||office||经理的~, 图书馆的~, ~工作人员, 一个~|NPCR-16
办公|bàngōng||to handle official business; to work (usu. in an office)||~时间|NPCR-16
室|shì||room||休息~|NPCR-16
上|shàng||to go up; to get on/last; previous||~来, ~去, ~楼; ~次, ~星期, ~个月|NPCR-16
先|xiān||first; before||~看电影, ~去办公室, ~到图书馆|NPCR-16
借书证|jièshūzhèng||library card||带~, 办~, 把~办了, 一个~|NPCR-16
借|jiè||to borrow; to lend||~钱, ~书, ~语法书, ~图书馆的书|NPCR-16
证|zhèng||certificate; card||学生~, 出生~, 工作~|NPCR-16
一会儿|yíhuìr||a little while||~就去, ~上楼, ~去图书馆借书|NPCR-16
下|xià||to go down; to get off/next||~来, ~去, ~楼, 一会儿~来; ~次, ~星期, ~个月|NPCR-16
带|dài||to bring||~本子, ~照片, ~名片, ~礼物, ~钱, ~人民币|NPCR-16
填|tián||to fill in; to write||怎么~, ~什么, ~名字, ~出生年月日|NPCR-16
表|biǎo||form; table; list||填~, 带~, 做一张~|NPCR-16
拿|ná||to take; to hold; to get||~报, ~光盘, ~一张表来, ~借书证|NPCR-16
慢|màn||slow; slowly||写得很~, 学得不~, 说得真~, 填得太~|NPCR-16
不行|bùxíng||not be allowed; won't do|||NPCR-16
生活|shēnghuó||to live/life||在中国~, 在北京学习和~, ~得很好;快乐的~|NPCR-16
自己|zìjǐ||oneself||你~, 我~, 学生~, ~看, ~写, ~填|NPCR-16
姓名|xìngmíng||name||学生的~, 填~|NPCR-16
性别|xìngbié||sex; gender||填~|NPCR-16
职业|zhíyè||occupation; profession||什么~, 有~, 找~|NPCR-16
交|jiāo||to hand in; to hand over; to pay (the rent, etc.)||~表, ~钱, ~照片|NPCR-16
长|cháng||long||时间很~, 借多~时间, 办了很~时间|NPCR-16
考试|kǎoshì||to give or take an examination/examination; test||口语~, 语法~, 汉字~|NPCR-16
考|kǎo||to give or take an examination; to test||~口语, ~生词, ~美术, ~文化|NPCR-16
不错|búcuò||not bad||考得~, 填得~, 生活得~, 很~|NPCR-16
翻译|fānyì||to translate; to interpret||~英语书, ~课文, 做~练习, 考~|NPCR-16
新|xīn||new||~书, ~借书证, ~问题, ~朋友|NPCR-16
课本|kèběn||textbook||新的汉语~, 借英语~, 他买的~|NPCR-16
出|chū||to go or come out||~来, ~去, 从这儿~去|NPCR-16
还|huán||to give back; to return||~书, ~课本, ~钱|NPCR-16
过期|guòqī||to be overdue||~了, 没有~, 什么时候~|NPCR-16
过|guò||to pass|||NPCR-16
期|qī||a period of time|||NPCR-16
罚款|fákuǎn||to impose a fine or forfeit/fine||过期~;交~|NPCR-16
罚|fá||to punish; to penalize||~钱, ~多少钱, ~十块钱|NPCR-16
款|kuǎn||a sum of money|||NPCR-16
电脑|diànnǎo||computer||图书馆的~, 买~, 用~|NPCR-16
电|diàn||electricity|||NPCR-16
脑|nǎo||brain|||NPCR-16
查|chá||to check; to look up||~课本, ~生词, ~语法, ~电脑, 用电脑~|NPCR-16
新实用汉语课本|xīnshíyònghànyǔkèběn||New Practical Chinese Reader|||NPCR-16
实用|shíyòng||practical|||NPCR-16
阅览室|yuèlǎnshì||reading room|||NPCR-16
杂志|zázhì||magazine|||NPCR-16
问答|wèndá||questions and answers|||NPCR-16
预订|yùdìng||to reserve; to book|||NPCR-16
房间|fángjiān||room|||NPCR-16
国籍|guójí||nationality|||NPCR-16
钥匙|yàoshi||key|||NPCR-16
目录|mùlù||catalog; list|||NPCR-16
续借|xùjiè||to renew|||NPCR-16
年龄|niánlíng||age|||NPCR-16
广东|guǎngdōng||Guangdong Province|||NPCR-16
茶楼|chálóu||tearooms; tea house|||NPCR-16
老人|lǎorén||the elderly; the aged; old man or woman|||NPCR-16
开始|kāishǐ||to start; to begin|||NPCR-16
孩子|háizi||child|||NPCR-16
热闹|rènao||lively; bustling with noise and excitement|||NPCR-16
