Phrase	Grammar	Transcription	Translation	Notes
飞船|fēichuán||spaceship; spacecraft|||NPCR-50
太空|tàikōng||the firmament; outer space|||NPCR-50
新闻|xīnwén||news|||NPCR-50
载|zài||to carry; to be loaded with|||NPCR-50
发射|fāshè||to launch; to discharge|||NPCR-50
射|shè||to shoot; to fire; to discharge|||NPCR-50
恨不得|hènbude||be dying or itching to|||NPCR-50
恨|hèn||to hate|||NPCR-50
航天|hángtiān||space flight|||NPCR-50
航|háng||to navigate|||NPCR-50
跨|kuà||to stride; to step (forward or sideways)|||NPCR-50
从此|cóngcǐ||from this time on; from now on|||NPCR-50
飞行|fēixíng||(of an airplane) to fly|||NPCR-50
嫦娥奔月|chángébènyuè||Chang'e flying to the moon|||NPCR-50
制造|zhìzào||to manufacture; to make|||NPCR-50
火箭|huǒjiàn||rocket|||NPCR-50
箭|jiàn||arrow|||NPCR-50
力量|lìliang||physical strength; mental ability|||NPCR-50
愿望|yuànwàng||desire; wish|||NPCR-50
航天员|hángtiānyuán||astronaut; spaceman|||NPCR-50
标准|biāozhǔn||standard; criterion|||NPCR-50
身高|shēngāo||height (of a person)|||NPCR-50
体重|tǐzhòng||(body) weight|||NPCR-50
左右|zuǒyòu||about; around (indicating an approximate number)|||NPCR-50
进行|jìnxíng||to conduct; to carry out|||NPCR-50
严格|yángé||strict; rigorous|||NPCR-50
训练|xùnliàn||to train/training; drill|||NPCR-50
将来|jiānglái||future|||NPCR-50
神舟|shénzhōu||Shenzhou (name of a Chinese spacecraft)|||NPCR-50
明代|míngdài||Ming Dynasty (1368 - 1644)|||NPCR-50
公|gōng||male (animal)|||NPCR-50
蟹|xiè||crab|||NPCR-50
母|mǔ||female (animal)|||NPCR-50
爪|zhuǎ||claw|||NPCR-50
分开|fēnkāi||to separate|||NPCR-50
主人|zhǔrén||host; master; owner|||NPCR-50
嫩|nèn||young and tender; (not overcooked) tender|||NPCR-50
香|xiāng||(of food) savoury; fragrant|||NPCR-50
营养|yíngyǎng||nutrition|||NPCR-50
道理|dàolǐ||reason; sense; truth|||NPCR-50
东半球|dōngbànqiú||Eastern Hemisphere|||NPCR-50
半球|bànqiú||hemisphere|||NPCR-50
西半球|xībànqiú||Western Hemisphere|||NPCR-50
萝卜青菜,  各有所爱|luóboqīngcàigèyǒusuǒài||no dish suits all tastes|||NPCR-50
萝卜|luóbo||radish|||NPCR-50
青菜|qīngcài||green vegetables|||NPCR-50
地球|dìqiú||the earth; the globe|||NPCR-50
多样化|duōyànghuà||diversity|||NPCR-50
和平|hépíng||peace|||NPCR-50
相处|xiāngchǔ||to get along (with one another)|||NPCR-50
加强|jiāqiáng||to strengthen|||NPCR-50
进口|jìnkǒu||to import|||NPCR-50
有趣|yǒuqù||interesting|||NPCR-50
短信|duǎnxìn||message|||NPCR-50
同事|tóngshì||colleague|||NPCR-50
问候|wènhòu||to send one's regards to sb.|||NPCR-50
千万|qiānwàn||ten million; to be sure|||NPCR-50
玩游戏|wányóuxì||to play a game|||NPCR-50
分享|fēnxiǎng||to share (joy, rights, etc.)|||NPCR-50
响|xiǎng||to make a sound; to ring|||NPCR-50
冰箱|bīngxāing||refrigerator|||NPCR-50
鸡蛋|jīdàn||chicken egg|||NPCR-50
老子|lǎozi||(coll.) I, your father (said in anger or in fun)|||NPCR-50
猕猴桃|míhóutáo||kiwi fruit|||NPCR-50
讨厌|tǎoyàn||disgusting|||NPCR-50
苍蝇|cāngying||fly|||NPCR-50
误会|wùhuì||to misunderstand|||NPCR-50
丫头|yātou||(coll.) girl|||NPCR-50
心情|xīnqíng||frame (or state) of mind; mood|||NPCR-50
属于|shǔyú||to belong to|||NPCR-50
模特儿|mótèr||model|||NPCR-50
飞行员|fēixíngyuán||pilot|||NPCR-50
战争|zhànzhēng||war|||NPCR-50
