Phrase	Grammar	Transcription	Translation	Notes
中午|zhōngwǔ||noon||今天~, 明天~, 星期一~|NPCR-14
刚才|gāngcái||just now|||NPCR-14
邮局|yóujú||post office|||NPCR-14
邮|yóu||to post; to mail|||NPCR-14
局|jú||office; bureau|||NPCR-14
寄|jì||to post, to mail||~书, ~光盘, ~东西|NPCR-14
打扫|dǎsǎo||to clean||~房子, ~宿舍|NPCR-14
扫|sǎo||to sweep|||NPCR-14
脏|zāng||dirty||~衣服|NPCR-14
不好意思|bùhǎoyìsi||to feel embarrassed||~说, ~去|NPCR-14
洗|xǐ||to wash||~衣服, ~手, ~苹果|NPCR-14
外婆|wàipó||grandmother on the mother's side|||NPCR-14
中学|zhōngxué||middle school||~老师, ~生|NPCR-14
打工|dǎgōng||to have a part-time job||在中学~, 在哪儿~|NPCR-14
南方|nánfāng||south||中国~, 去~|NPCR-14
旅行|lǚxíng||to travel||去~, 去北京~, 去加拿大~|NPCR-14
想|xiǎng||to miss; to remember with longing||~妈妈, ~家|NPCR-14
留学生|liúxuéshēng||student studying abroad; international student||中国~, 外国~, ~宿舍|NPCR-14
住|zhù||to live; to stay|||NPCR-14
楼|lóu||building||八号~, 四~, 留学生~|NPCR-14
对|duì||right, correct||不~|NPCR-14
念|niàn||to read|||NPCR-14
生词|shēngcí||new word||念~, 写~, 学习~, 教~|NPCR-14
生|shēng||new|||NPCR-14
词|cí||word|||NPCR-14
复习|fùxí||to review||~生词, ~外语, ~汉字|NPCR-14
课文|kèwén||text||念~, 学习~, 复习~, 教~|NPCR-14
练习|liànxí||to practice/exercise||~生词, 做~|NPCR-14
练|liàn||to practice|||NPCR-14
口语|kǒuyǔ||spoken language||练习~, 教~|NPCR-14
语法|yǔfǎ||grammar||学习~, 教~|NPCR-14
过|guò||to spend (time); to celebrate (a birthday, a holiday)||~圣诞节, ~生日|NPCR-14
节|jié||festival|||NPCR-14
礼物|lǐwù||present; gift||一件~, 圣诞~, 送他~|NPCR-14
圣诞|shèngdàn||Christmas||~快乐|NPCR-14
欧洲|ōuzhōu||Europe|||NPCR-14
上海|shànghǎi||Shanghai|||NPCR-14
整理|zhěnglǐ||to put in order; to arrange; to sort out|||NPCR-14
电视|diànshì||TV|||NPCR-14
乱|luàn||in disorder; in a mess|||NPCR-14
日记|rìjì||diary|||NPCR-14
晴|qíng||sunny|||NPCR-14
包裹|bāoguǒ||parcel|||NPCR-14
惊喜|jīngxǐ||pleasant surprise|||NPCR-14
圣诞老人|shèngdànlǎorén||Santa Claus|||NPCR-14
元旦|yuándàn||New Year's day|||NPCR-14
春节|chūnjié||the Spring Festival|||NPCR-14
感恩节|gǎnēnjié||Thanksgiving Day|||NPCR-14
复活节|fùhuójié||Easter|||NPCR-14
