Text	Transcription	IPA	Description	Notes
皿	mǐn		naczynie	
血	xuè		krew	
且	qiě		ponadto	
具	jù		narzędzie	
四	sì		cztery	
西	xī		zachód	
酉	yǒu		naczynie na wino	
黑	hēi		czarny; ciemny; mroczny	
臼	jiù		moździerz
與	yǔ		podarować; i; dla	
學	xué		uczyć się	
囗	wéi		ogrodzenie; miasto; twierdza	
固	gù		krzepki; solidny	
個	gè		sztuka; jednostka	
回	huí		krążyć; wracać; raz	
用	yòng		używać	
甫	fǔ		szanowany mąż; ojciec	
卓	zhuō		maszt; wznosić się	
卩	jié		pieczęć; stempel	
那	nà		tamten	
那	nǎ		który?	
阝	fù		wzgórze	w znakach złozonych po lewej stronie
阝	yì		miasto; miejsce	w znakach złożonych po prawej stronie
