Phrase	Grammar	Transcription	Translation	Notes
adam			człowiek; mężczyzna
altıncı			szósty
arkadaş			towarzysz
başka			drugi; inny; oprócz
beş			pięć
berber			fryzjer
biz			my
bura			to miejsce
burada			tutaj
cevap vermek			odpowiadać
çiftçi			rolnik
dersane			audytorium; sala wykładowa
doktor			lekarz
genç			młody; młody człowiek
genç kız			młoda dziewczyna
genç oğlan			młody chłopak	rzadko
hasta			chory
ihtiyar			stary; w podeszłym wieku
insan			człowiek
iş			praca
işçi			robotnik
kim			kto
köy			wieś
köylü			wieśniak
kuaför			fryzjer
memur			urzędnik
mühendis			inżynier
nere			jakie miejsce
o			on; ona; ono
onlar			oni
ora			tamto miejsce
orada			tam
pilot			lotnik; pilot
sağlıklı			zdrowy
sen			ty
siz			wy
soru			pytanie
şehir			miasto
şehirli			mieszczanin; mieszkaniec miasta
şura			tamto miejsce
şurada			o tam
terzi			krawiec
üniversite			uniwersytet
yoksa			być może
