Phrase	Grammar	Transcription	Translation	Notes
alıştırma			ćwiczenie
askı			wieszak
avize			żyrandol
bank			ławka
bir			jeden; jakiś
birinci			pierwszy
çanta			teczka; torba
çevirmek			tłumaczyć
ders			lekcja
dilbilgisi			gramatyka
döşeme			podłoga
duvar			ściana
işte			oto
kâğıt			papier
kalem			długopis; ołówek
kapı			drzwi
karatahta			tablica
kitap			książka
kürsü			katedra
lamba			lampa
levha			obraz	słowo przestarzałe
masa			stół
oda			pokój; izba
pencere			okno
perde			zasłonka
silgi			gumka do ścierania
sözlük			słownik
sünger			gąbka
tablo			obraz
tavan			sufit
tebeşir			kreda
Türkçe			język turecki
