Phrase	Grammar	Transcription	Translation	Notes
舅妈|jiùmā||aunt (wife of mother's brother)|||NPCR-24
舅舅|jiùjiu||uncle (mother's brother)|||NPCR-24
农民|nóngmín||farmer; peasant|||NPCR-24
当|dāng||to serve as; to be|||NPCR-24
蔬菜|shūcài||vegetable|||NPCR-24
菜|cài||food; dish; vegetable|||NPCR-24
正在|zhèngzài||in the process of; in the middle of; (key word of a progressive construction)|||NPCR-24
在|zài||(used to indicate an action in progress)|||NPCR-24
问路|wènlù||to ask directions (a route)|||NPCR-24
变化|biànhuà||change|||NPCR-24
不但|búdàn||not only|||NPCR-24
而且|érqiě||but also; and also|||NPCR-24
可不|kěbù||exactly; right; that's just the way it is|||NPCR-24
小孩儿|xiǎohǎir||kid; child|||NPCR-24
地图|dìtú||map|||NPCR-24
向|xiàng||towards; to|||NPCR-24
像|xiàng||to be like; to take after|||NPCR-24
上|shàng||to be engaged in (work study, etc.) at a fixed time|||NPCR-24
年级|niánjí||grade|||NPCR-24
大学|dàxué||university; college|||NPCR-24
辛苦|xīnkǔ||hard; toilsome|||NPCR-24
下雨|xiàyǔ||to rain|||NPCR-24
雨|yǔ||rain|||NPCR-24
种|zhòng||to grow; to plant|||NPCR-24
温室|wēnshì||greenhouse|||NPCR-24
温|wēn||warm|||NPCR-24
收入|shōurù||income; earnings|||NPCR-24
收|shōu||to accept; to receive|||NPCR-24
入|rù||to enter|||NPCR-24
前年|qiánnián||the year before last year|||NPCR-24
盖|gài||to build|||NPCR-24
座|zuò||(a measure word for mountains, buildings, and other similar immovable objects)|||NPCR-24
辆|liàng||(a measure word for vehicles)|||NPCR-24
城市|chéngshì||city|||NPCR-24
城|chéng||city|||NPCR-24
方便|fāngbiàn||convenient|||NPCR-24
村|cūn||village|||NPCR-24
文化|wénhuà||culture; education; literacy|||NPCR-24
低|dī||low|||NPCR-24
技术|jìshù||technology; skill|||NPCR-24
管理|guǎnlǐ||to manage; to administer|||NPCR-24
暖和|nuǎnhuo||warm|||NPCR-24
凉快|liángkuai||cool|||NPCR-24
机场|jīchǎng||airport|||NPCR-24
接(人)|jiērén||to pick up (someone)|||NPCR-24
行李|xíngli||baggage; luggage|||NPCR-24
箱子|xiāngzi||box; case; trunk|||NPCR-24
一路平安|yílùpíngān||to have a pleasant journey; bon voyage|||NPCR-24
停|tíng||to stop; cease|||NPCR-24
爱人|àiren||husband or wife; spouse|||NPCR-24
士兵|shìbīng||soldier|||NPCR-24
将军|jiāngjūn||general|||NPCR-24
站岗|zhàngǎng||to stand guard|||NPCR-24
冻|dòng||to freeze|||NPCR-24
发抖|fādǒu||to shake; to tremble; to shiver|||NPCR-24
生火|shēnghuǒ||to make a fire|||NPCR-24
正常|zhèngcháng||normal; regular|||NPCR-24
声|shēng||sound; voice|||NPCR-24
