Phrase	Grammar	Transcription	Translation	Notes
太极剑|tàijíjiàn||taijijian (a kind of traditional Chinese swordplay)|||NPCR-30
剑|jiàn||sword|||NPCR-30
街|jiē||street|||NPCR-30
活动|huódòng||to move about/activity|||NPCR-30
跳|tiào||to jump, to leap|||NPCR-30
跳舞|tiàowǔ||to dance|||NPCR-30
舞|wǔ||dance|||NPCR-30
敲锣打鼓|qiāoluódǎgǔ||to beat drums and gongs|||NPCR-30
敲|qiāo||to beat; to knock on|||NPCR-30
锣|luó||gong|||NPCR-30
打|dǎ||to beat|||NPCR-30
鼓|gǔ||drum|||NPCR-30
扭秧歌|niǔyāngge||to do the yangge dance|||NPCR-30
扭|niǔ||to twist|||NPCR-30
秧歌|yāngge||yangge dance|||NPCR-30
民间|mínjiān||folk|||NPCR-30
舞蹈|wǔdǎo||dance|||NPCR-30
叫做|jiàozuò||to be called|||NPCR-30
动作|dòngzuò||movement, action|||NPCR-30
简单|jiǎndān||simple|||NPCR-30
老人|lǎorén||senior; elderly man or woman|||NPCR-30
出汗|chūhàn||to sweat|||NPCR-30
要不|yàobù||otherwise, or else|||NPCR-30
手|shǒu||hand|||NPCR-30
武术|wǔshù||martial arts|||NPCR-30
生病|shēngbìng||to fall ill|||NPCR-30
病|bìng||to fall ill/disease|||NPCR-30
后来|hòulái||afterwards, later|||NPCR-30
上班|shàngbān||to go to work|||NPCR-30
早上|zǎoshang||(early) morning|||NPCR-30
最近|zuìjìn||recently|||NPCR-30
街心花园|jiēxīnhuāyuán||a landscaped island at an intersection of avenues|||NPCR-30
围|wéi||to surround|||NPCR-30
下棋|xiàqí||to play chess|||NPCR-30
立交桥|lìjiāoqiáo||overpass|||NPCR-30
桥|qiáo||bridge|||NPCR-30
听见|tīngjiàn||to hear|||NPCR-30
爱好者|àihàozhě||lover (of arts, sports, etc.); enthusiast|||NPCR-30
退休|tuìxiū||to retire|||NPCR-30
休闲|xiūxián||to take recreation|||NPCR-30
方式|fāngshì||way|||NPCR-30
做操|zuòcāo||to do gymnastics|||NPCR-30
跑步|pǎobù||to jog|||NPCR-30
对面|duìmiàn||opposite side|||NPCR-30
网吧|wǎngbā||internet cafe/bar|||NPCR-30
门口|ménkǒu||doorway|||NPCR-30
舞厅|wǔtīng||ballroom|||NPCR-30
长寿|chángshòu||longevity|||NPCR-30
公里|gōnglǐ||kilometer|||NPCR-30
调查|diàochá||to investigate|||NPCR-30
组|zǔ||to form/group|||NPCR-30
心脏|xīnzàng||heart|||NPCR-30
秘诀|mìjué||secret of success|||NPCR-30
在于|zàiyú||to depend on; to rely on|||NPCR-30
运动|yùndòng||to do physical exercise/sports|||NPCR-30
故乡|gùxiāng||hometown|||NPCR-30
流传|liúchuán||to spread|||NPCR-30
健康|jiànkāng||health/healthy|||NPCR-30
聪明|cōngming||intelligent, clever|||NPCR-30
奥林匹克|àolínpǐkè||the Olympics|||NPCR-30
