Phrase	Grammar	Transcription	Translation	Notes
基本上|jīběnshang||basically; essentially|||NPCR-47
基本|jīběn||basic; fundamental/fundamentally|||NPCR-47
实行|shíxíng||to put into practice; to carry out|||NPCR-47
改革|gǎigé||to reform/reform|||NPCR-47
开放|kāifàng||to lift a ban, restriction, etc.|||NPCR-47
既然|jìrán||since; as; now that|||NPCR-47
原因|yuányīn||cause; reason|||NPCR-47
学费|xuéfèi||tuition fee|||NPCR-47
支持|zhīchí||to support; to hold out|||NPCR-47
劳动力|láodònglì||labour force|||NPCR-47
劳动|láodòng||to work; to labour|||NPCR-47
集体|jítǐ||collective|||NPCR-47
岗位|gǎngwèi||post; job|||NPCR-47
计划|jìhuà||to plan/plan|||NPCR-47
义务|yìwù||duty; voluntary|||NPCR-47
难说|nánshuō||hard to say|||NPCR-47
部分|bùfen||part|||NPCR-47
家教|jiājiào||to tutor/tutor|||NPCR-47
小组|xiǎozǔ||group|||NPCR-47
组长|zǔzhǎng||group leader|||NPCR-47
长|zhǎng||chief, head|||NPCR-47
称|chēng||to call|||NPCR-47
为|wéi||to act as; to serve as|||NPCR-47
头儿|tóur||(coll.) head; chief; boss|||NPCR-47
也许|yěxǔ||perhaps; probably|||NPCR-47
强|qiáng||strong; better|||NPCR-47
懂得|dǒngdé||to understand; to know|||NPCR-47
减轻|jiǎnqīng||to lighten; to reduce|||NPCR-47
减|jiǎn||to reduce; to decrease; to subtract|||NPCR-47
当|dāng||just at (a time); when|||NPCR-47
只|zhī||(measure word for one of a pair or for certain kinds of animals, boats or utensils)|||NPCR-47
泡|pào||to steep; to soak|||NPCR-47
揉|róu||to rub; to knead|||NPCR-47
腰|yāo||waist|||NPCR-47
深|shēn||deep, difficult|||NPCR-47
拼命|pīnmìng||desperately; exerting one's utmost|||NPCR-47
皮|pí||skin; leather|||NPCR-47
却|què||but; yet; however|||NPCR-47
出国|chūguó||to go abroad|||NPCR-47
吃苦|chīkǔ||to bear hardships|||NPCR-47
轻松|qīngsōng||light; relaxed|||NPCR-47
坚持|jiānchí||to persist in|||NPCR-47
胜利|shènglì||to win victory/victory|||NPCR-47
旅游鞋|lǚyóuxié||walking shoes; sneakers|||NPCR-47
鞋|xié||shoes|||NPCR-47
难过|nánguò||to feel sorry; to feel bad/sad|||NPCR-47
存|cún||to deposit|||NPCR-47
新西兰|xīnxīlán||New Zealand|||NPCR-47
难忘|nánwàng||unforgettable|||NPCR-47
经历|jīnglì||to undergo/experience|||NPCR-47
争取|zhēngqǔ||to strive for|||NPCR-47
大爷|dàye||uncle (a respectful form of address for an elderly man)|||NPCR-47
大妈|dàmā||aunt (a respectful form of address for an elderly woman)|||NPCR-47
业余|yèyú||spare time|||NPCR-47
耐心|nàixīn||patient/patience|||NPCR-47
起名字|qǐmíngzi||to give a name|||NPCR-47
迟到|chídào||to be late|||NPCR-47
早退|zǎotuì||to leave early|||NPCR-47
请假|qǐngjià||to ask for leave of absence|||NPCR-47
克林|kèlín||Collin (name of a person)|||NPCR-47
奥运|àoyùn||the Olympic Games|||NPCR-47
雪绒花|xuěrónghuā||"Edelweiss" (song from the movie 'The Sound of Music')|||NPCR-47
