Phrase	Grammar	Transcription	Translation	Notes
在|zài||at; in; on||~家, ~学院, ~这儿|NPCR-10
光盘|guāngpán||CD||一张~|NPCR-10
音乐|yīnyuè||music||~光盘, 中国~, 外国~|NPCR-10
商场|shāngchǎng||market; bazaar; shopping mall||在~, 进~|NPCR-10
商|shāng||trade; commerce|||NPCR-10
常常|chángcháng||often||~来, ~去, ~看, ~做|NPCR-10
常|cháng||often||不~|NPCR-10
跟|gēn||with/to follow||~他来, ~林娜去, ~我学|NPCR-10
有名|yǒumíng||famous||~的教授, ~的医生|NPCR-10
书|shū||book||外语~, 汉语~, 有名的~, 看~|NPCR-10
报|bào||newspaper||买~, 看~|NPCR-10
本子|běnzi||notebook||一个~, 买~|NPCR-10
那儿|nàr||there||去~, 在~|NPCR-10
梁柱|liángzhù||(name of a Chinese violin concerto)|||NPCR-10
先生|xiānsheng||Mr.; sir||张~, 王~|NPCR-10
要|yào||to want||~什么, ~音乐光盘|NPCR-10
师傅|shīfu||master worker||张~, 王~|NPCR-10
香蕉苹果|xiāngjiāopíngguǒ||apple with a banana taste||一个~|NPCR-10
香蕉|xiāngjiāo||banana||买~|NPCR-10
苹果|píngguǒ||apple||一个~|NPCR-10
对不起|duìbuqǐ||I'm sorry|||NPCR-10
怎么|zěnme||how||~说, ~做, ~去, ~介绍|NPCR-10
容易|róngyì||easy||很~, 不~, 真~, 不太~|NPCR-10
葡萄|pútao||grapes|||NPCR-10
钱|qián||money||多少~|NPCR-10
斤|jīn||(measure word of weight, equal to 500g)||一~苹果, 两~葡萄|NPCR-10
块(钱)|kuàiqián||(measure word of basic Chinese monetary unit, equal to 10 毛); dollar||两~, 十二~, 二十~|NPCR-10
毛(钱)|máoqián||(measure word of Chinese||monetary unit, equal to 1/10 块); dime 两~, 六~|NPCR-10
贵|guì||expensive, precious||很~, 真~, 不太~, 不~|NPCR-10
做|zuò||to be; to make||~个朋友, ~好朋友|NPCR-10
分(钱)|fēnqián||(measure word of Chinese monetary unit, equal to 1/100 块); cent||一~, 八~|NPCR-10
送|sòng||to give (as a present)||~蛋糕, ~葡萄酒|NPCR-10
给|gěi||to give||~他, ~师傅, ~我, ~香蕉|NPCR-10
找(钱)|zhǎoqián||to give change ~|||NPCR-10
元|yuán||(the same as '块', but used in written language)|||NPCR-10
笔|bǐ||pen|||NPCR-10
支|zhī||(measure word for stick-like things such as pens)|||NPCR-10
份|fèn||(measure word for publications such as newspapers)|||NPCR-10
本|běn||(measure word for books and notebooks)|||NPCR-10
杯|bēi||cup of|||NPCR-10
售货员|shòuhuòyuán||shop assistant; salesperson|||NPCR-10
作家|zuòjiā||writer|||NPCR-10
便宜|piányi||cheap; inexpensive|||NPCR-10
书店|shūdiàn||book store|||NPCR-10
体育馆|tǐyùguǎn||gym|||NPCR-10
卖|mài||to sell|||NPCR-10
