Phrase	Grammar	Transcription	Translation	Notes
旗袍|qípáo||chensogam; a long formal dress with a slit skirt||一件~, 这件~, 中国的~|NPCR-17
比|bǐ||than (indicating comparison)||~那件漂亮, ~他好, ~今天冷, ~这件贵一点儿|NPCR-17
卖|mài||to sell||~衣服, ~光盘, ~苹果, ~中药, ~东西|NPCR-17
中式|zhōngshì||Chinese style||~衣服, ~房子|NPCR-17
式|shì||type; style|||NPCR-17
已经|yǐjing||already||~三十年了, ~来了, ~买旗袍了|NPCR-17
商店|shāngdiàn||shop; store||小~, 北京的~, 去~买东西, 一个~|NPCR-17
商|shāng||commerce; business|||NPCR-17
店|diàn||shop; store|||NPCR-17
极(了)|jíle||extremely||多~, 慢~, 漂亮~, 流利~|NPCR-17
一定|yídìng||must; surely||~很新, ~很脏, ~知道, 不~早, 不~懂|NPCR-17
差|chà||not up to standard; poor; bad||很~, ~极了, 不一定~, 不一定比大商场的东西~|NPCR-17
开始|kāishǐ||to start; to begin||从下星期~, 从八点~考试, ~学中文, ~工作|NPCR-17
太极拳|tàijíquán||Taiji Boxing||学~, 打~|NPCR-17
套|tào||set; suit; suite||一~中式衣服, 一~大房子, 一~新课本|NPCR-17
帅|shuài||handsome; smart||很~, ~极了, 比他~, 一定很~|NPCR-17
颜色|yánsè||color||什么~, 漂亮的~, 旗袍的~, 衣服的~|NPCR-17
黑|hēi||black||~的, ~颜色, ~衣服|NPCR-17
红|hóng||red||~的, ~颜色, ~苹果|NPCR-17
白|bái||white||~的, ~颜色, ~旗袍|NPCR-17
便宜|piányi||cheap||~的, 一套~的衣服, 一定很~|NPCR-17
没关系|méiguānxi||never mind; it doesn't matter||贵一点儿~, 慢一点儿~, 少一点儿~|NPCR-17
公园|gōngyuán||park||去~玩儿, 去~打太极拳, 到~去, 一个~|NPCR-17
走|zǒu||to walk; to go||去公园~~, ~了一个小时, ~得很快|NPCR-17
小时|xiǎoshí||hour||两个~, 几个~, 多少~|NPCR-17
过去|guòqù||to pass||两个小时~了, 三天~了|NPCR-17
衬衫|chènshān||shirt||一件~, 白~, 中式~, 买了~了|NPCR-17
绿|lǜ||green||~的, ~颜色, ~衬衫, ~香蕉|NPCR-17
样子|yàngzi||shape; sample; model; pattern||~好, 衬衫的~, 旗袍的~|NPCR-17
售货员|shòuhuòyuán||shop assistant; salesclerk|||NPCR-17
售|shòu||to sell||~书|NPCR-17
货|huò||goods|||NPCR-17
试|shì||to try on; to have a try||~~, ~一~, ~~这件, ~一~那件衣服|NPCR-17
觉得|juéde||to feel; to think||~太长, ~很合适, ~这件大点儿, ~非常帅, ~便宜极了|NPCR-17
合适|héshì||suitable; appropriate; right||很~, ~极了, 这件绿衬衫比那件红的~|NPCR-17
短|duǎn||short||~旗袍, ~衬衫, ~极了, ~一点儿, 觉得这件太~了|NPCR-17
高|gāo||high; tall||比我~, ~一点儿, 房子~|NPCR-17
公分|gōngfēn||centimeter||两~, 短一~, 比那套长两~|NPCR-17
麻烦|máfan||to bother sb.; to trouble sb.||~您, 太~您了, 很~, 不~|NPCR-17
丝绸|sīchóu||silk||~的, ~衬衫, 中国~|NPCR-17
西服|xīfú||Western-style clothes; suit||一套~, 穿~, ~的样子, 合适的~|NPCR-17
双|shuāng||pair|||NPCR-17
鞋(子)|xiézi||shoes|||NPCR-17
头发|tóufa||hair|||NPCR-17
打折|dǎzhé||to sell at a discount; to give a discount|||NPCR-17
条|tiáo||(a measure word for long, narrow objects such as trousers, skirt, snake, etc.)|||NPCR-17
裤子|kùzi||trousers; pants|||NPCR-17
相声|xiàngsheng||comic dialogue; repartee|||NPCR-17
了不起|liǎobuqǐ||amazing; terrific; extraordinary|||NPCR-17
薄|báo||thin|||NPCR-17
页|yè||page|||NPCR-17
料子|liàozi||material for making clothes|||NPCR-17
布|bù||cloth; fabric|||NPCR-17
总(是)|zǒngshì||always|||NPCR-17
表|biǎo||watch|||NPCR-17
