Phrase	Grammar	Transcription	Translation	Notes
机翼		jīyì	skrzydło	
音乐		yīnyuè	muzyka	
欢迎		huānyíng	witaj; witać	
电影		diànyǐng	film	
如果		rúguǒ	jeśli, jeżeli; w przypadku, gdy	
# === 3 ===
几		jǐ	ile?; kilka; ile	
护照		hùzhào	paszport	
签证		qiānzhèng	wiza	
酒		jiǔ	wino; alkohol	
物品		wùpǐn	towary	
包		bāo	zapakować; zawinąć	
香烟		xiāngyān	papieros	
海关官员		hǎiguān'guānyuán	celnik	
天		tiān	dzień; niebo	
申报		shēnbào	zgłosić w deklaracji celnej	
水果		shuǐguǒ	owoc	
绿色通道		lǜsè tōngdào	zielone przejście	
多久		duōjiǔ	jak długo	
月		yuè	księżyc; miesiąc	
多		duō	wiele; dużo	
超过		chāoguò	przekroczyć limit	
公务		gōngwù	sprawa oficjalna	
只		zhǐ	tylko; ale	
路过		lùguò	przejść obok; przejść przez	
交税		jiāoshuì	zapłacić podatek	
个人		gèrén	osobiście	
个人的		gèrén de	osobisty	
打算		dǎsuàn	zamierzać; planować	
红色通道		hóngsè tōngdào	czerwone przejście	
呆		dāi	głupi; bezmyślny; pozostać	
手提箱		shǒutí xiāng	walizka	
旅游		lǚyóu	podróż	
蔬菜		shūcài	warzywa; plon	
星期		xīngqī	tydzień	
威士忌		wēishìjì	whisky	
# === 4 ===
现代		xiàndài	współczesny; nowoczesny; Hyundai	
晚点		wǎndiǎn	opóźniony; opóźnić się	
票价		piàojià	cena biletu; cena za bilet	
正点		zhèngdiǎn	punktualny; punktualnie; według rozkładu	
推迟		tuīchí	odłożyć na później	
车厢		chēxiāng	przedział	w wagonie kolejowym
事故		shìgù	wypadek	
卧具		wòjù	miejsce do leżenia	w wagonie sypialnym
上车		shàngchē	wsiadać; wsiadać do pojazdu	do pojazdu
盒饭		héfàn	jedzenie zapakowane w pudełko	
买		mǎi	kupować	
换车		huànchē	przesiadać się	
查票		chápiào	sprawdzać bilety	
打扫		dǎsǎo	sprzątać; zamiatać	
列车员		lièchē yuán	konduktor	
