Phrase	Grammar	Transcription	Translation	Notes
ak			biały
alçak			niski
ayak			noga
beş			pięć
beşinci			piąty
beyaz			biały
büyük			duży
çirkin			brzydki
çok			bardzo
dağ			góra
dar			waski
dört			cztery
fena			zły
geniş			szeroki
göre			zgodnie
gözsüz			bezoki
güzel			piękny
ıssız			bezludny; niezamieszkały
ince			cienki
kahverengi			brązowy
kalın			gruby
kara			czarny
kırmızı			czerwony
kısa			krótki
kör			ślepy
kötü			zły
küçük			mały
mavi			niebieski
nasıl			jaki
ne			co
sanmak			myśleć; sądzić; być zdania
sarı			żółty
sarışın			blond; białowłosy
siyah			czarny
tül			tiul
tül perde			firanka
uzatmak			wyciągać
uzun			długi
ve			i
yorgan			kołdra
yeşil			zielony
yüksek			wysoki
