Phrase	Grammar	Transcription	Translation	Notes
אֶזְרָח			citizen	2L7 Noun
חָלוּץ			pioneer	2L7 Noun
יְצִירָה			creation / piece	2L7 Noun
לוֹחֵם			warrior / fighter	2L7 Noun
מַאֲמָר			article	2L7 Noun
מוֹסָד			institution / establishment	2L7 Noun
מְחַנֵך			educator	2L7 Noun
מַטָרָה			goal / objective	2L7 Noun
נוֹשֵׂא			subject	2L7 Noun
עֶצֶב			sadness	2L7 Noun
פֶּסֶל			sculpture / statue	2L7 Noun
צִיוֹנוּת			Zionism	2L7 Noun
שוֹאָה			Holocaust	2L7 Noun
תַּרְבּוּת			culture	2L7 Noun
הִתְחַזֵק			gather strength	2L7 Verb
לְהִתְחַזֵק			to gather strength	2L7 Verb
חִינֵך			educate	2L7 Verb
לְחַנֵך			to educate	2L7 Verb
כִּיבֵּד			respect	2L7 Verb
לְכַבֵּד			to respect	2L7 Verb
נֶהֱרַג			be killed	2L7 Verb
לְהֵיהָרֵג			to be killed	2L7 Verb
פִּטְפֵּט			babble	2L7 Verb
לְפַטְפֵּט			to babble	2L7 Verb
קִשְקֵש			prattle	2L7 Verb
לְקַשְקֵש			to prattle	2L7 Verb
מוּצְלָח			successful	Adjective 2L7
מוּצְלַחַת			successful (f)	Adjective 2L7
רָחָב			wide	Adjective 2L7
רְחָבָה			wide (f)	Adjective 2L7
שָווֶה			equal	Adjective 2L7
שָווָה			equal (f)	Adjective 2L7
בִּמְיוּחָד			especially	2L7
הַאִם			(question/is it?)	2L7
לְפִי דַעְתִי			in my opinion	2L7
