Text	Transcription	Notes
沙 sha ㄕㄚ	ua	
奢 she ㄕㄜ	ue	
詩 shi ㄕ	ui	
篩 shai ㄕㄞ	ud	
誰 shei ㄕㄟ	uw	
燒 shao ㄕㄠ	uc	
收 shou ㄕㄡ	uz	
山 shan ㄕㄢ	uj	
伸 shen ㄕㄣ	uf	
傷 shang ㄕㄤ	uh	
生 sheng ㄕㄥ	ug	
書 shu ㄕㄨ	uu	
刷 shua ㄕㄨㄚ	ux	
說 shuo ㄕㄨㄛ	uo	
衰 shuai ㄕㄨㄞ	uk	
水 shui ㄕㄨㄟ	uv	
栓 shuan ㄕㄨㄢ	ur	
順 shun ㄕㄨㄣ	uy	
雙 shuang ㄕㄨㄤ	ul	
