Text	Transcription	Notes
哈 ha ㄏㄚ	ha	
喝 he ㄏㄜ	he	
海 hai ㄏㄞ	hd	
黑 hei ㄏㄟ	hw	
好 hao ㄏㄠ	hc	
後 hou ㄏㄡ	hz	
寒 han ㄏㄢ	hj	
很 hen ㄏㄣ	hf	
杭 hang ㄏㄤ	hh	
哼 heng ㄏㄥ	hg	
呼 hu ㄏㄨ	hu	
花 hua ㄏㄨㄚ	hx	
火 huo ㄏㄨㄛ	ho	
懷 huai ㄏㄨㄞ	hk	
灰 hui ㄏㄨㄟ	hv	
歡 huan ㄏㄨㄢ	hr	
婚 hun ㄏㄨㄣ	hy	
荒 huang ㄏㄨㄤ	hl	
轟 hong ㄏㄨㄥ	hs	
