Text	Transcription	Notes
發 fa ㄈㄚ	fa	
佛 fo ㄈㄛ	fo	
飛 fei ㄈㄟ	fw	
否 fou ㄈㄡ	fz	
翻 fan ㄈㄢ	fj	
分 fen ㄈㄣ	ff	
方 fang ㄈㄤ	fh	
風 feng ㄈㄥ	fg	
夫 fu ㄈㄨ	fu	
