Text	Transcription	Notes
雜 za ㄗㄚ	za	
則 ze ㄗㄜ	ze	
資 zi ㄗ	zi	
災 zai ㄗㄞ	zd	
賊 zei ㄗㄟ	zw	
遭 zao ㄗㄠ	zc	
鄒 zou ㄗㄡ	zz	
咱 zan ㄗㄢ	zj	
怎 zen ㄗㄣ	zf	
髒 zang ㄗㄤ	zh	
增 zeng ㄗㄥ	zg	
租 zu ㄗㄨ	zu	
昨 zuo ㄗㄨㄛ	zo	
最 zui ㄗㄨㄟ	zv	
鑽 zuan ㄗㄨㄢ	zr	
尊 zun ㄗㄨㄣ	zy	
宗 zong ㄗㄨㄥ	zs	
