Text	Transcription	Notes
欺 qi ㄑㄧ	qi	
搯 qia ㄑㄧㄚ	qx	
切 qie ㄑㄧㄝ	qp	
敲 qiao ㄑㄧㄠ	qn	
秋 qiu ㄑㄧㄡ	qq	
千 qian ㄑㄧㄢ	qm	
親 qin ㄑㄧㄣ	qb	
腔 qiang ㄑㄧㄤ	ql	
清 qing ㄑㄧㄥ	qk	
區 qu ㄑㄩ	qu	
缺 qüe ㄑㄩㄝ	qt	
圈 qüan ㄑㄩㄢ	qr	
群 qün ㄑㄩㄣ	qy	
窮 qiong ㄑㄩㄥ	qs	
