Text	Transcription	Notes
基 ji ㄐㄧ	ji	
家 jia ㄐㄧㄚ	jx	
街 jie ㄐㄧㄝ	jp	
交 jiao ㄐㄧㄠ	jn	
究 jiu ㄐㄧㄡ	jq	
堅 jian ㄐㄧㄢ	jm	
今 jin ㄐㄧㄣ	jb	
江 jiang ㄐㄧㄤ	jl	
京 jing ㄐㄧㄥ	jk	
居 ju ㄐㄩ	ju	
決 jüe ㄐㄩㄝ	jt	
捐 jüan ㄐㄩㄢ	jr	
軍 jün ㄐㄩㄣ	jy	
窘 jiong ㄐㄩㄥ	js	
