Text	Transcription	Notes
啊 a ㄚ	aa	
喔 o ㄛ	oo	
鵝 e ㄜ	ee	
兒 er ㄦ	er	
哀 ai ㄞ	ai	
欸 ei ㄟ	ei	
熬 ao ㄠ	ao	
歐 ou ㄡ	ou	
安 an ㄢ	an	
恩 en ㄣ	en	
昂 ang ㄤ	ah	
鞥 eng ㄥ	eg	
