Text	Transcription	Notes
搭 da ㄉㄚ	da	
得 de ㄉㄜ	de	
呆 dai ㄉㄞ	dd	
得 dei ㄉㄟ	dw	
刀 dao ㄉㄠ	dc	
兜 dou ㄉㄡ	dz	
單 dan ㄉㄢ	dj	
當 dang ㄉㄤ	dh	
登 deng ㄉㄥ	dg	
低 di ㄉㄧ	di	
爹 die ㄉㄧㄝ	dp	
雕 diao ㄉㄧㄠ	dn	
丟 diu ㄉㄧㄡ	dq	
顛 dian ㄉㄧㄢ	dm	
㆜ ding ㄉㄧㄥ	dk	
都 du ㄉㄨ	du	
多 duo ㄉㄨㄛ	do	
堆 dui ㄉㄨㄟ	dv	
端 duan ㄉㄨㄢ	dr	
蹲 dun ㄉㄨㄣ	dy	
東 dong ㄉㄨㄥ	ds	
