Text	Transcription	Notes
希 xi ㄒㄧ	xi	
瞎 xia ㄒㄧㄚ	xx	
些 xie ㄒㄧㄝ	xp	
消 xiao ㄒㄧㄠ	xn	
休 xiu ㄒㄧㄡ	xq	
先 xian ㄒㄧㄢ	xm	
新 xin ㄒㄧㄣ	xb	
香 xiang ㄒㄧㄤ	xl	
星 xing ㄒㄧㄥ	xk	
虛 xu ㄒㄩ	xu	
靴 xüe ㄒㄩㄝ	xt	
宣 xüan ㄒㄩㄢ	xr	
詢 xün ㄒㄩㄣ	xy	
兄 xiong ㄒㄩㄥ	xs	
