Text	Transcription	IPA	Description	Notes
一	yī		jeden	
二	èr		dwa	
三	sān		trzy	
工	gōng		praca; pracować; robotnik	
王	wáng		książę; władca	
五	wǔ		pięć	
十	shí		dziesięć	
士	shí		uczony; wojownik	
土	tǔ		ziemia; gleba; miejscowy	
丁	dīng		dorosły	
行	xíng		poruszać się; iść; działać	
手	shǒu		ręka	
竹	zhú		bambus	
主	zhǔ		gospodarz; władać	
住	zhù		zatrzymać się; mieszkać	
隹	zhuī		ptak z krótkim ogonkiem	
生	shēng		rodzić się; żyć; życie; surowy; nieznany	
乍	zhà		nagle; niespodziewanie	
立	lì		stać; postawić; założyć	
辛	xīn		gorycz; ciężka praca	
幸	xìng		szczęście; powodzenie	
羊	yáng		owca; koza	
平	píng		gładki; równy; spokojny	
卜	bǔ		wróżyć; wróżba	
下	xià		schodzić; na dole; dół	
上	shàng		podnosić się; na górze; góra; kierować się do	
止	zhǐ		zatrzymać się; stać	
正	zhèng		prosty; prawidłowy; prawy	
