Phrase	Grammar	Transcription	Translation	Notes
अब			teraz
आपका			twój; pański
आराम			odpoczynek; wygoda
आराम से			wygodnie; łatwo
ऐनक			okulary
ओ			och
कपड़ा			ubrania
क़लम			pióro do pisania
काला			czarny
को			do; ku
खैर			dobrze
गाँव			wioska
गुसलखाना			łazienka
घर			dom
चश्मा			okulary
चार			cztery
चीज़			rzecz
छह			sześć
तक			aż do
तबियत			zdrowie
तस्वीर			obraz
तुम्हारा			twój
दरवाज़ा			drzwi
दराज़			szuflada
दरी			dywan; chodnik
दस			dziesięć
दीवार			ściana
पति			mąż
पत्नी			żona
पर			na
परदा			zasłona
परिवार			rodzina
फ़र्श			piętro
बस			autobus
बहुत-सारा			mnóstwo; wiele
बाथरूम			łazienka
भारत			Indie
में			w
में से			spośród
मेरा			mój
रसोईघर			kuchnia
रात			noc
रे			hej; ej
लन्दन			Londyn
वगैरह			i tak dalej
वहाँ			tam
शहर			miasto
शायद			być może
समय			czas
सामान			meble; rzeczy
सारा			cały
सुबह			poranek
से			od; z
