Phrase	Grammar	Transcription	Translation	Notes
demain	adv,nm	dəmɛ͂	tomorrow	
grand	adv,nadj	gʀɑ͂, gʀɑ͂d	great, big, tall	
un ami	nadj	ami	friend	
venir	v	v(ə)niʀ	to come	
tard	adv	taʀ	late	
le mec	nm	mɛk	guy	
hein	intj	ˊɛ͂	eh, huh	
passer	v	pɑse	to pass	
le truc	nm	tʀyk	trick; thing	
tant	adv	tɑ͂	so much, so many	
combien	adv,conj	kɔ͂bjɛ͂	how much, how many	
le sens	nm(pl)	sɑ͂s	sense, meaning	
puis	adv	pɥi	then, so	
la porte	nf	pɔʀt	door	
super	adji,nm	sypɛʀ	great	
sortir	v	sɔʀtiʀ	to go out, leave	
une heure	nf	œʀ	hour	
contre	adv,nm,prep	kɔ͂tʀ	against	
le coup	nm	ku	coup, blow, knock, stroke	
un ensemble	adv,nm	ɑ͂sɑ͂bl	together	
le nouveau	adj,nm	nuvo	new	
un amour	nm	amuʀ	love	
le sang	nm	sɑ͂	blood	
sous	prep	su	under	
le cas	nm(pl)	kɑ	case	
rester	v	ʀɛste	to stay	
la question	nf	kɛstjɔ͂	question	
la partie	nf	paʀti	part	
une histoire	nf	istwaʀ	history, story	
chercher	v	ʃɛʀʃe	to look for	
seulement	adv	sœlmɑ͂	only	
la police	nf	pɔlis	police	
un aide, une aide	nm,nf	ɛd	help, assistance	
la demande	nf	d(ə)mɑ͂d	request, demand	
le genre	nm	ʒɑ͂ʀ	type, kind, sort	
le mois	nm(pl)	mwa	month	
le frère	nm	fʀɛʀ	brother	
laisser	v	lese	to leave, to let	
le car	conj,nm	kaʀ	because; bus	
mettre	v	mɛtʀ	to put, place	
aucun	det,adj,pro	okœ͂, okyn	none, either, neither, not any	
eux	pro	ø	them	
la ville	nf	vil	city	
chaque	det,adj	ʃak	each	
arrivé	adj	aʀive	arrived	
le bébé	nadj(f)	bebe	baby	
longtemps	adv	lɔ͂tɑ͂	a long time, a long while	
la putain	nf	pytɛ͂	whore, bitch; stupid	
revoir	v	ʀ(ə)vwaʀ	to see again, revise	
la place	nf	plas	room, space, square, place	
ni	conj	ni	nor	
une attention	nf	atɑ͂sjɔ͂	attention	
voici	prep	vwasi	here is, here are, this is, these are	
une affaire	nf	afɛʀ	business, matter	
donner	v	dɔne	to give	
le type	nm	tip	type; guy	
le train	nm	tʀɛ͂	train	
le corps	nm(pl)	kɔʀ	body	
un endroit	nm	ɑ͂dʀwa	place, spot	
la façon	nf	fasɔ͂	way, manner	
une écoute	nf	ekut	listening	
