Text	Transcription	IPA	Description	Notes
馆	guǎn		sala	
现	xiàn		teraz	
在	zài		w	
跟	gēn		z	
走	zǒu		iść	
常	cháng		często	
借	jiè		pożyczyć	
时	shí		czas	
候	hòu		czas	
网	wǎng		sieć	
查	chá		sprawdzać	
资	zī			
料	liào		materiał	
宿	sù		przenocować	
舍	shè		dom	
安	ān		spokojny	
静	jìng		spokojny	
晚	wǎn		wieczór	
复	fù		przeglądać	
预	yù		uprzednio	
或	huò		albo	
练	liàn		ćwiczyć	
影	yǐng		film	
视	shì		oglądać	
