Text	Transcription	IPA	Description	Notes
几	jǐ		kilka	
九	jiǔ		dziewięć	
七	qī		siedem	
去	qù		iść	
西	xī		zachód	
青	qīng		zielony	
心	xīn		serce	
小	xiǎo		mały	
见	jiàn		widzieć	
习	xí		ćwiczyć	
学	xué		uczyć się	
汉	Hàn		etnicznie chiński	
语	yǔ		język	
邮	yóu		wysłać pocztą	
局	jú		biuro	
