Phrase	Grammar	Transcription	Translation	Notes
ἀποπλανάω	V		to mislead	
ἡ ἀπογραφή, -ῆς	V		census, registration	
ἀποχωρίζομαι	V		to separate, split apart	
ἀστράπτω	N		to flash, gleam	
αὐθάδης, -ες	V		self-willed, stubborn, arrogant	
ἀστήρικτος, -ον	N		unstable, weak	
ἡ αὐτάρκεια, -ας	V		sufficiency, contentment, self-sufficiency	
ἡ ἀσχημοσύνη, -ης	Adj		a disgraceful deed	
αὐτόματος, -η, -ον	N		by itself	
ἀστεῖος, -α, -ον	N		handsome, well-bred	
ἀτάκτως	Adj		disorderly, unruly	
ἀφιλάργυρος, -ον	N		free from the love of money	
ἡ ἀτμίς, -ίδος	V		vapor	
αὐστηρός, -ά, -όν	N		strict, exacting	
ὁ Ἀχάζ	N		Ahaz	
αὐθαίρετος, -ον	N		of one's own accord	
ὁ αὐλητής, -οῦ	V		a flute player	
ἀφρίζω	N		to foam (at the mouth)	
ὁ ἀφεδρών, -ῶνος	Adv		toilet, latrine	
ἄστοργος, -ον	Adj		without natural affection, unfeeling, unloving	
ἀφοράω	V		to fix one's eyes, see	
ἡ Ἆσσος, -ου	Adj		Assos	
ἡ αὔξησις, -εως	V		growth, increase	
ἀσχημονέω	V		to act unbecomingly, disgracefully	
ἄτεκνος, -ον	V		childless	
τό ἀσσάριον, -ου	Adj		an assarion, a farthing (one tenth of a drachma)	
ἡ ἁφή, -ῆς	Adj		a joint	
ἄτερ	V		without (gen)	
αὐλίζομαι	V		to spend the night, lodge	
ἀχρεῖος, -ον	Adj		useless, worthless, unworthy	
ἄψινθος	V		wormwood	
ἡ βοήθεια, -ας	Adj		help	
ἀχάριστος, -ον	Adj		ungrateful	
ὁ Βαρσαββᾶς, -ᾶ	N		Barsabbas	
βραδύνω	N		to hesitate, to be slow, delay	
ἡ βεβαίωσις, -εως	N		confirmation	
ὁ βουνός, -οῦ	N		a hill	
βολίζω	N		to take soundings	
βαρέως	N		with difficulty	
ὁ Ἀχίμ	V		Achim	
ὁ βουλευτής, -οῦ	V		a councilor	
ἡ Βιθυνία, -ας	N		Bithynia	
ἡ Βέροια, -ας	N		Berea	
βιάζομαι	N		to force, dominate	
βεβηλόω	Adv		to profane, desecrate	
τό ἄχυρον, -ου	N		chaff	
βλάπτω	Adj		to harm, injure	
τό βραβεῖον, -ου	N		a prize	
ὁ βορρᾶς, -ᾶ	N		the north	
ἡ βροχή, -ης	V		rain	
βδελύσσομαι	V		to detest, abhor	
διαλαλέω	N		to discuss	
γελάω	Adj		to laugh	
δειγματίζω	Adj		to make a show of, expose, disgrace	
ἡ γάζα, -ης	N		treasure	
ὁ Γαβριήλ	N		Gabriel	
γεννητός, -ή, -όν	V		born, begotten	
διαβεβαιόομαι	V		speak confidently, insist	
ὁ δεσμώτης, -ου	N		a prisoner	
Γεθσημανί	N		Gethsemane	
βυθίζω	N		to sink, to plunge	
τό γλωσσόκομον, -ου	V		a money-box	
δερμάτινος, -η, -ον	V		(made of) leather	
ἡ γενεαλογία, -ας	V		a genealogy	
διασαφέω	N		to report, explain	
διαιρέω	N		to distribute, divide	
δεκαοκτώ	N		eighteen	
Γαλατικός, -ή, -όν	N		Galatian	
διαπονέομαι	N		to be annoyed, disturbed	
διαπρίομαι	V		to be cut to the quick, to be infuriated	
γηράσκω	N		to grow old	
δεινῶς	N		terribly, vehemently	
διάγω	Adj		spend one's life, live	
τό γενέσια, -ων	N		a birthday celebration	
διαγινώσκω	N		to distinguish, decide	
διαγογγύζω	N		to complain, grumble	
δεκατόω	N		to collect or receive tithes	
