Phrase	Grammar	Transcription	Translation	Notes
hereinkommen			wchodzić	do wewnątrz
hoch			wysoki; wysoka; wysokie	
der Käse			ser	
langsam			powoli; powolny; wolno	
leben			żyć	
lesen			czytać	
mal			raz; razy	w matematyce
nett			miły; przyjemny	
das Päckchen			paczuszka; pakiecik	
polnisch			polski; po polsku	
Prost!			Na zdrowie!	
die Rose			róża	
russisch			rosyjski; po rosyjsku	
sollen			powinien	
sprechen			mówić; rozmawiać	
die Überraschung			niespodzianka	
die Wurst			kiełbasa	
zuerst			najpierw; na początku	
# === 7 ===
Guten Tag!			Dzień dobry!	
Herzlich willkommen!			Serdecznie witamy!	
Auf Wiedersehen!			Do widzenia!	
Tschüs!			Cześć!	nieformalne pożegnanie
Das gefällt mir.			To mi się podoba.	
Das macht nichts.			Nic nie szkodzi.	
Ich freue mich sehr.			Bardzo się cieszę.	
Guten Morgen!			Dzień dobry!	od rana do godziny 11-ej
Guten Abend!			Dobry wieczór!	od godziny 18-ej
Gute Nacht!			Dobranoc!	
Bis bald!			Do zobaczenia wkrótce!	
bald			wkrótce	
bis			do	
erst			dopiero	
der Fahrstuhl			winda	
die Frau			pani; kobieta; żona; niewiasta	
das Fräulein			panna	
sich freuen			cieszyć się	
gefallen			podobać się	
kein			żaden	
klingeln			dzwonić	
leider			niestety	
machen			robić; czynić	
der Morgen			poranek	04-10 Uhr
die Mutter			matka	
die Nacht			noc	23-04 Uhr
nichts			nic	
oben			na górze	
die Oper			opera	
pünktlich			punktualny	
schlecht			zły	
der Stuhl			krzesło	
trotzdem			mimo to	
war			był; była; było	
weiter			dalej	
der Winter			zima	
# === 8 ===
man kauft			kupuje się	
Gehst du mit?			Czy wejdziesz ze mną?	
Geben sie mir bitte ...			Proszę mi dać ...	
nach Hause			do domu	
antworten			odpowiadać	
der Aufschnitt			pokrojona wędlina; rozmaitości	
bekommen			dostać; otrzymać	
bezahlen			zapłacić; opłacić	
brauchen			potrzebować	
das Brötchen			bułka	
dreihundert			trzysta	
drüben			po drugiej stronie	
das Ei			jajko	
fahren			jechać	
fast			prawie	
das Fleisch			mięso	
die Fleischwaren			wyroby mięsne	
fragen			pytać	
frisch			świeży	
geben			dawać; dać	
gehen			iść	
das Gemüse			warzywa; jarzyny	
gern			chętnie	
das Geschirr			naczynia	
das Gramm			gram	
die Halle			hala	
halten			zatrzymać się; trzymać	
die Haushaltwaren			artykuły gospodarstwa domowego	
hinein			do wewnątrz; do środka	
hineingehen			wchodzić do środka	
holen			przynosić	
hundert			sto	
die Jadgwurst			kiełbasa myśliwska	
die Kaufhalle			hala targowa; pawilon handlowy	
der Kuchen			ciasto; ciastko	
die Lebensmittel			artykuły spożywcze	
die Leberwurst			wątrobianka	
man			-	zaimek nieosobowy
die Marmelade			marmolada	
das Mehl			mąka	
die Milch			mleko	
nach			po	
die Nußschokolade			czekolada orzechowa	
oder			albo; lub	
das Pfund			funt; 1/2 kg	
das Salz			sól	
das Schnitzel			sznycel	
die Schokolade			czekolada	
die Seife			mydło	
selbst			sam	
selbstverständlich			oczywiście	
und so weiter			i tak dalej	
der Verkäufer			sprzedawca	
die Verkäuferin			sprzedawczyni	
vierhundert			czterysta	
die Ware			towar	
warten			czekać	
wieviel			ile	
# === 9 ===
das Taxi			taksówka	
kaufen			kupować	
sehen			widzieć	
zehn			dziesięć	
zwanzig			dwadzieścia	
bestellen			zamawiać	
essen			jeść	
haben			mieć	
nehmen			brać; wziąć	
trinken			pić	
wünschen			życzyć sobie	
lesen			czytać	
mal			raz; razy	w matematyce
machen			robić; czynić	
bekommen			dostać; otrzymać	
bezahlen			zapłacić; opłacić	
brauchen			potrzebować	
fragen			pytać	
holen			przynosić	
besuchen			odwiedzać; zwiedzać	
kennen			znać	
lieben			kochać; lubić	
schreiben			pisać	
verpassen			spóźnić się na; przepuścić	
zeichnen			rysować	
Auf Wiederhören!			Do usłyszenia!	
Mach bitte schnell!			Pospiesz się proszę!	
Wie lange?			Jak długo?	
die Straßenbahn verpassen			spóźnić sie na tramwaj	
den Zug verpassen			spóźnić się na pociąg	
der Volkseigene Betrieb			przedsiębiorstwo państwowe	
die Taxe			taksówka	potocznie
dreißig			trzydzieści	
vierzig			czterdzieści	
fünfzig			pięćdziesiąt	
sechzig			sześćdziesiąt	
siebzig			siedemdziesiąt	
achtzig			osiemdziesiąt	
neunzig			dziewięćdziesiąt	
beginnen			zaczynać; zaczynać się	
besser			lepiej	
der Betrieb			przedsiębiorstwo; fabryka	
die Freundin			przyjaciółka	
gegen			około; przeciw	
geteilt durch			dzielone przez	
halb			pół; wpół	
das Kind			dziecko	
das Kompliment			komplement; pochlebstwo	
merken			zapamiętywać; zauważać	
die Minute			minuta	
die Nummer			numer	
die Sekunde			sekunda	
sofort			natychmiast	
sogar			nawet	
sonst			zresztą; w przeciwnym razie; poza tym	
sie Straße			ulica	
die Straßenbahn			tramwaj	
die Stunde			godzina	okres czasu
das Telefon			telefon	
telefonieren			telefonować	
der Vater			ojciec	
das Viertel			kwadrans; ćwiartka	
volkseigen			państwowy	
die Vorstellung			przedstawienie	
wen?			kogo?	
wiederhören			ponownie słyszeć	
zufällig			przypadkowo	
# === 10 ===
der Lehrer			nauczyciel	
die Karte			karta; mapa; bilet	
der Kellner			kelner	
die Oper			opera	
der Verkäufer			sprzedawca	
gegen			około; przeciw	
Ich bin 22 Jahre alt.			Mam 22 lata.	
für sie			dla niej	
ins Theater gehen			iść do teatru	
eine Rolle spielen			grać rolę	
für wen?			dla kogo?	
diese Tür			te drzwi	
die Angestellte			pracownica; urzędniczka	
die Platzanweiserin			bileterka	
die Garderobenfrau			szatniarka	
der Pfennig			fenig	
Deutsche Demokratische Republik			Niemiecka Republika Demokratyczna	
der Sänger			śpiewak	
der Kassierer			kasjer	
der Schauspieler			aktor	
die Abendkasse			kasa sprzedająca bilety na godzinę przed przedstawieniem	
der Angestellte			pracownik; urzędnik	
die Atmosphäre			atmosfera	
ausgezeichnet			doskonały; wyśmienity	
das Auto			samochód	
die Bühne			scena	
die DDR			NRD	
durch			przez	
einzeln			pojedynczy	
das Foyer			foyer	
für			na; dla; za	
der Fußball			piłka nożna	
die Garderobe			szatnia	
das Geld			pieniądze	
jung			młody	
die Kasse			kasa	
die Kassiererin			kasjerka	
krank			chory	
neu			nowy	
der Neubau			nowe budownictwo; nowa budowla	
ohne			bez	
die Operette			operetka	
der Park			park	
das Parkett			parter	w teatrze
der Plan			plan	
die Premiere			premiera	
das Programm			program	
der Rang			balkon	w teatrze
die Reihe			rząd; szereg	
die Rolle			rola	
sagen			mówić; powiedzieć	
die Sängerin			śpiewaczka	
die Schauspielerin			aktorka	
das Schauspielhaus			teatr	
singen			śpiewać	
spielen			grać; bawić się	
der Spielplan			repertuar	
der Star			gwiazda; gwiazdor	
stehen			stać	
das Stadtheater			teatr miejski	
das Talent			talent	
talentiert			utalentowany	
das Theater			teatr	
die Theaterkarte			bilet do teatru	
die Theaterkasse			kasa teatru	
die Tür			drzwi	
um			wokół	
der Verkauf			sprzedaż	
der Vorverkauf			przedsprzedaż	
wann?			kiedy?	
wofür?			po co? za co?	
zusammen			razem	
zwar			wprawdzie	
# === 11 ===
ein Telegramm aufgeben			nadać telegram	
Herzliche Grüße!			Serdeczne pozdrowienia!	
dort steht			tam stoi; tam jest napisane	
Einverstanden!			Zgoda!	
Wieviel kostet?			Ile kosztuje?	
der Absender			nadawca	
die Adresse			adres	
die Ankunft			przybycie; przyjazd	
die Ansichtskarte			widokówka	
aufgeben			nadawać	
der Augenblick			chwila; moment	
auszahlen			wypłacać	
der Bestimmungsort			miejsce przeznaczenia	
der Brief			list	
der Briefbogen			arkusz papieru listowego	
der Briefkasten			skrzynka pocztowa	
die Briefmarke			znaczek pocztowy	
der Briefträger			listonosz	
der Briefumschlag			koperta	
das Buch			książka	
der Dienstag			wtorek	
der Donnerstag			czwartek	
der Eilbrief			list ekspresowy	
der Einschreibebrief			list polecony	
einzahlen			wpłacać	
fehlen			brakować	
das Formular			formularz	
der Freitag			piątek	
der Geldschein			banknot	
das Geldstück			moneta	
gestern			wczoraj	
der Gruß			pozdrowienie	
die Hausnummer			numer domu	
kosten			kosztować	
liegen			leżeć	
die Luftpost			poczta lotnicza	
die Mark			marka	
der Mittwoch			środa	
der Montag			poniedziałek	
der Name			imię; nazwisko	
der Ort			miejsce; miejscowość	
das Paket			paczka	
die Post			poczta	
das Postamt			urząd pocztowy	
der Postangestellte			urzędnik pocztowy	
die Postanweisung			przekaz pocztowy	
die Postkarte			karta pocztowa	
die Postleitzahl			kod pocztowy	
richtig	a		właściwy; poprawny	
der Samstag			sobota	
der Schalter			okienko	w urzędach; kasy
schicken			wysyłać	
der Sonnabend			sobota	
der Sonntag			niedziela	
sparen			oszczędzać	
das Sparbuch			książeczka oszczędnościowa	
später			później	
der Stempel			stempel; pieczęć	
telegrafieren			telegrafować	
das Telegramm			telegram	
die Telegrammannahme			przyjmowanie telegramów	
der Text			tekst	
übermorgen			pojutrze	
vergessen			zapominać	
vorgestern			przedwczoraj	
der Vorname			imię	
die Woche			tydzień	
der Wochentag			dzień tygodnia	
das Wort			słowo; wyraz	
zählen			liczyć	
der Zuname			nazwisko	
# === 12 ===
da			tam; w takim razie; wtedy; tu; wtem	
warten			czekać	
im Gepäckautomaten			w automacie na bagaż	
an alles denken			myśleć o wszystkim	
Schon gut!			Już dobrze!	
Na und?			No to co? No i co z tego?	
Gute Reise!			Przyjemnej podróży!	
keine Leute			nie ma ludzi	
Der Zug ist schon da.			Pociąg już jest.	
die Abfahrt			odjazd	
das Abteil			przedział	
anders			inaczej	
die Arbeit			praca	
die Auskunft			informacja	
der Automat			automat	
die Bahn			kolej	
der Bahnangestellte			pracownik kolei	
das Bahnhofsgebäude			budynek dworca kolejowego	
der Bahnsteig			peron	
der Benutzungshinweis			instrukcja obsługi	
das Bier			piwo	
denken			myśleć	
drehen			kręcić	
der D-Zug			pociąg pospieszny	
der D-Zug-Zuschlag			dopłata na pociąg pospieszny	
der Eilzug			pociąg przyspieszony	
der Expreß			pociąg ekspresowy	
die Fahrkarte			bilet	
der Fahrkartenschalter			kasa biletowa	
das Fenster			okno	
der Fensterplatz			miejsce przy oknie	
finden			znaleźć	
die Gaststätte			restauracja	
das Gebäude			budynek	
die Gepäckannahme			przyjmowanie bagażu	
die Gepäckausgabe			wydawanie bagażu	
der Gepäckautomat			automat na bagaż	
der Güterzug			pociąg towarowy	
der Hauptbahnhof			dworzec główny	
der Hinweis			wskazówka	
der Junge			chłopiec	
der Kollege			kolega	
können			móc; potrafić	
kurz			krótki; krótka; krótkie	
die Leute			ludzie	
der Liegewagen			wagon z miejscami do leżenia	
die Lokomotive			lokomotywa	
müssen			musieć	
der Nachtzug			pociąg nocny	
nochmals			jeszcze raz	
öffnen			otwierać; otworzyć	
der Personenzug			pociąg osobowy	
prima			wspaniały	
das Problem			problem	
die Reise			podróż	
schade			szkoda	
der Schlafwagen			wagon sypialny	
der Schlüssel			klucz	
der Schnellzug			pociąg pospieszny	
der Speisewagen			wagon restauracyjny	
der Student			student	
die Suppe			zupa	
die Technik			technika	
der Wagen			wagon; wóz	
der Waggon			wagon	
der Wartesaal			poczekalnia	
der Zuschlag			dopłata	
# === 13 ===
recht haben			mieć rację	
bis			do	
trotzdem			mimo to	
die Maschine der Interflug			samolot linii lotniczych Interflug	
Verspätung haben			mieć opóźnienie	
auf jemanden warten			czekać na kogoś	
im Hotel			w hotelu	
in einem Reisebüro			w biurze podróży	
einen Flug buchen			zarezerwować miejsce w samolocie	
der Abflug			odlot	
Achtung!			Uwaga!	
buchen			rezerwować	
die Buchung			rezerwacja	
einsteigen			wsiadać	
fliegen			latać	
der Flug			lot	
die Flugkarte			bilet lotniczy	
der Flugplatz			lotnisko	
das Flugzeug			samolot	
glauben			sądzić; wierzyć	
hoffentlich			zapewne; mam nadzieję, że...	
das Interhotel			hotel międzynarodowy	
landen			lądować	
die Maschiene			maszyna	
neblig			mglisty	
o.k.			okej	
die O.K.-Buchung			potwierdzenie rezerwacji	
der Pilot			pilot; lotnik	
das Reisebüro			biuro podróży	
der Rückflug			lot powrotny	
soeben			właśnie; dopiero co	
starten			startować	
die Stewardeß			stewardesa	
überreichen			wręczać	
die Verspätung			opóźnienie	
voraussichtlich			przypuszczalnie	
der Weiterflug			dalszy lot; kontunuacja lotu	
wohin?			dokąd?	
worauf?			na co?	
der Zubringerbus			autobus dowożący pasażerów na lotnisko	
# === 14 ===
ihr			wy; jej; ich	
die Berliner			berlińczycy	
der Stolz der Berliner			duma berlińczyków	
Ich erkenne die Stadt ... wieder.			Poznaję znowu miasto ...	
Es gefällt dir dort.			Tam ci się spodoba.	
Berlin ist eine Reise wert.			Berlin wart jest podróży.	
wert sein			być wartym	
eine Gedenkstätte besuchen			zwiedzać miejsce pamiątkowe	
eine Stadtrundfahrt machen			zwiedzać miasto autokarem	
einen Aussichtsturm besteigen			wejść na wieżę z rozległym widokiem	
die Altstadt			stare miasto	
die Aussicht			widok	
der Aussichtsturm			wieża z widokiem na okolicę	
das Bautempo			tempo budowy	
bedienen			obsługiwać	
die Bedienung			obsługa	
benutzen			korzystać	
die Benutzung			korzystanie	
besichtigen			zwiedzać	
die Besichtigung			zwiedzanie	
besonders			szczególnie	
besteigen			wejść na coś	
die Bestellung			zamówienie	
die Bezahlung			zapłata	
die Burg			zamek	
dabei			przy tym	
dein			twój	
das Denkmal			pomnik	
der Dom			katedra	
ebenfalls			również	
eigentlich			właściwie	
enorm			ogromny	
erkennen			rozpoznać	
euer			wasz	
die Gedenkstätte			miejsce pamiątkowe	
immerhin			bądź co bądź; jednak	
kaum			zaledwie	
die Kirche			kościół	
die Kugel			kula	
