Phrase	Grammar	Transcription	Translation	Notes
asrama			internat; akademik	
bahasa Inggris			język angielski	
bahasa Cina			język chiński	
bahasa Tionghoa			język chiński	
belok			zakręt	
dosen			wykładowca uniwersytecki; profesor	
fakultas			wydział	
ilmu			nauka	
ilmu bumi			geografia	
geografi			geografia	
ilmu ekonomi			ekonomia	
ilmu kimia			chemia	
ilmu politik			nauki polityczne	
informasi			informacja	
kuliah			wykład na uniwersytecie; studiować; być na wykładzie; iść na wykład	
ruang kuliah			sala wykładowa	
matematika			matematyka	
numpang tanya			czy mogę zapytać?	
rektor			rektor	
sastra			literatura	
seberang			po przeciwnej stronie	
studi			nauka o	
terus			kontynuować; iść naprzód	
toko buku			księgarnia	
toko roti			piekarnia	
# === 13 ===
enam			sześć	
tempat			miejsce	
empat			cztery	
kamar			pokój; sypialnia; pokój, izba	
pertama			pierwszy	
banyak			dużo; wielu	
bermacam-macam			wszelkiego rodzaju, różnorodny; różnorodne	
cukup			dość, wystarczy; wystarczy	
Eropa			Europa	
lain			inny; drugi	
lama			starożytny; przestarzały; długo; długotrwały	gdy mowa o czasie
laut			morze	
satu			jeden	
dua			dwa	
tiga			trzy	
lima			pięć	
kedua			drugi	
ketiga			trzeci	
keempat			czwarty	
kelima			piąty	
keenam			szósty	
# === 14 ===
kué			ciasto; tort; placek; ciastko	
kebun			ogród; sad; plantacja	
méja			stół	
kampung			wioska; wieś	
sungai			rzeka	
alun-alun			wspólne tereny miejskie	teren zielony w centrum indonezyjskiego miasta, szczególnie na Jawie i Bali
bupati			naczelnik okręgu lub dystryktu	
désa			wieś; jednostka administracyjna równoważna wsi, również na terenach miejskich	
kelas			klasa; rok nauki	
ruang kelas			klasa	pomieszczenie
pésta			przyjęcie; święto	
perahu			łódka	
perahu layar			żaglówka; jacht	
pertandingan			mecz	
pertandingan sepak bola			mecz piłki nożnej	
pulau			wyspa	
sayuran			warzywa	
sépak bola			piłka nożna	
# === 15 ===
teman			przyjaciel	
masih			nadal; ciągle; jeszcze	
apa			co; czy; ... czy ...?	nieformalnie = apakah; potocznie
cantik			ładny; ładna; piękna	o urodzie dziewczyny lub kobiety
muda			młody	
dosén			wykładowca; wykładowca uniwersytecki; profesor	
tua			stary	
uang			pieniądze	
aja			tylko; właśnie; dopiero co; przed chwilą	nieformalnie = saja; nieformalny odpowiednik "saja"
ama			i; z; razem z	nieformalny odpowiednik "sama"
Mobil ini apa mobil itu?			Ten czy tamten samochód?	
bilang			twierdzić; mówić	
Siapa bilang?			I kto to mówi?	
belum			jeszcze nie; zanim	
Belum selesai.			Jeszcze nie skończyłem.	
cakep			ładny; przystojny; ponętny	potocznie
duit			pieniądze; kasa	potocznie
gimana			jak? w jaki sposób	nieformalny odpowiednik "bagaimana"
Gimana kabarnya?			Co słychać? Jak leci?	
kali			być może; prawdopodobnie; chyba	nieformalny odpowiednik "barangkali"
kawin			ożenić się; wyjść za mąż	
Belum kawin			jeszcze wolny; jeszcze wolna	
kerja			pracować	nieformalny odpowiednik "bekerja"
Masih muda.			jescze młody	
ortu			rodzice	skrót w slangu od "orang tua"
sudah			już	
Sudah makan?			jadłeś już?; Już jadłeś?	
tanggal			data; dzień miesiąca	
