Phrase	Grammar	Transcription	Translation	Notes
duduk			siedzieć	
makan			jeść	
mau			chcieć	
minum			pić	
saya			ja	
akan			mieć zamiar	czasownik pomocniczy czasu przyszłego
suka			lubić	
bisa			móc	
dapat			móc	formalnie
warung			mała restauracja	
rumah makan			restauracja	
kamu			ty	nieformalnie
saja			tylko; właśnie	
aja			tylko; właśnie	nieformalnie = saja
bukan			nie	
kan			nie	nieformalnie = bukan
berjalan			iść pieszo	
jalan			iść pieszo	nieformalnie = berjalan
apakah			czy	
apa			czy	nieformalnie = apakah
tidak			nie	
nggak			nie	nieformalnie = tidak, z jawajskiego
ndak			nie	nieformalnie = tidak, z minangkabau
kagak			nie	nieformalnie = tidak, malajski Dżakarty
ingin			chcieć	
kepingin			chcieć	nieformalnie = ingin, z jawajskiego
wisatawan			turysta	
turis			turysta	nieformalnie = wisatawan, z angielskiego
you			ty	nieformalnie = anda, z angielskiego
air			woda	
ikan			ryba	
pisang			banany	
telur			jajko	
nasi			ugotowany ryż	
daging			mięso	
teh			herbata	
susu			mleko	
roti			chleb	
kopi			kawa	
ayam			kurczak	
di			w	
tempe			tempe	potrawa ze sfermentowanej soi
tinggal			mieszkać	
