Text	Transcription	IPA	Description	Notes
⺮	zhú		bambus	
丶	zhǔ		kropka	
主	zhǔ		gospodarz	
爫	zhuǎ		szpony	
爪	zhuǎ		szpony	
隹	zhuī		ptak z krótkim ogonkiem	
子	zǐ		dziecko	
自	zì		z; od	
走	zǒu		iść	
足	zú		stopa	
左	zuǒ		lewy	
